Semana,CNPJ_Fundo,Gestor_Apelido,Captacao,Resgate,PL_Medio,DataBase
2025-07-28,13058736000162,"CEF Asset",5053364.67,324158.57,14266788121.93,2025-08-01
2025-07-28,13106998000155,"Capitânia",30000,130000,286032809.5,2025-08-01
2025-07-28,13400194000164,"BRAM",0.01,92766.02,255149548.54,2025-08-01
2025-07-28,13411914000197,"IAM",8101529.29,3454606.17,5859443492.65,2025-08-01
2025-07-28,13425757000179,"SAM",0,0,480032322.4,2025-08-01
2025-07-28,13454232000161,"BTG WM",0,0,18681897.01,2025-08-01
2025-07-28,13455189000159,"SAM",0,0,1176734310.25,2025-08-01
2025-07-28,13492738000165,"Daycoval",0,0,55375006.41,2025-08-01
2025-07-28,13596496000150,"Brainvest",0,0,19100994.53,2025-08-01
2025-07-28,13823084000105,"Sulamérica",12860565.42,2186781.15,2032636160.42,2025-08-01
2025-07-28,13935899000186,"BTG WM",0,0,174961045.2,2025-08-01
2025-07-28,14146491000198,"XPG",0,244149.67,129419526.51,2025-08-01
2025-07-28,14158932000171,"Scalare",0,0,778978.43,2025-08-01
2025-07-28,14188164000107,"Sparta",650000,2861765,2632813468.52,2025-08-01
2025-07-28,14399722000175,"XPG",0,0,679112158.68,2025-08-01
2025-07-28,14399804000110,"Icatu",0,0,679523265.14,2025-08-01
2025-07-28,14466898000100,"Plural",0,0,211085610.48,2025-08-01
2025-07-28,14473842000175,"UBS",0,0,12457771.14,2025-08-01
2025-07-28,14491665000150,"Tivio",0,1136037.97,46641830.86,2025-08-01
2025-07-28,14557317000138,"BTG Asset",4164229.92,686008.99,3679867042.39,2025-08-01
2025-07-28,14843629000108,"Prada",0,0,7929668.12,2025-08-01
2025-07-28,15174629000125,"Integral",830885.1,5000,163312070.01,2025-08-01
2025-07-28,15207219000133,"Capri",0,0,33894019.77,2025-08-01
2025-07-28,15259169000138,"Franklin Templeton",0,0,122053482.35,2025-08-01
2025-07-28,15350679000116,"Plural",1205576.71,1153089.67,433211635.26,2025-08-01
2025-07-28,15398622000197,"BB Asset",0,0,93464715.34,2025-08-01
2025-07-28,15487311000102,"Plural",114173.81,64484.61,225402737.9,2025-08-01
2025-07-28,15612416000138,"Capitânia",0,0,73441982.82,2025-08-01
2025-07-28,15675431000125,"BRAM",40656788.86,62633111.32,15954724283.82,2025-08-01
2025-07-28,15675437000100,"BRAM",48131609.53,57222025.63,13605016296.5,2025-08-01
2025-07-28,16599959000125,"Tagus",0,153535.86,168522252.02,2025-08-01
2025-07-28,16916048000184,"Funcef",0,6000000,805229001.81,2025-08-01
2025-07-28,17041023000147,"Capitânia",0,0,65281043.09,2025-08-01
2025-07-28,17051205000107,"IAM",0,0,3227641777.68,2025-08-01
2025-07-28,17072641000154,"Porto Asset",1340.63,1835.38,117421460.11,2025-08-01
2025-07-28,17072894000128,"Polo",0,0,88365136.79,2025-08-01
2025-07-28,17138011000135,"BNP",127000,0,534093776.36,2025-08-01
2025-07-28,17138466000150,"SAM",0,0,1171969106.19,2025-08-01
2025-07-28,17138474000105,"SAM",389896.63,67700,632490366.53,2025-08-01
2025-07-28,17225793000140,"BB Asset",8607319.73,8360110.83,2224723407.79,2025-08-01
2025-07-28,17329683000128,"Icatu",199000,0,891957128.16,2025-08-01
2025-07-28,17329754000192,"BNP",0,0,209537467.15,2025-08-01
2025-07-28,17329785000143,"Portofino",0,0,101993881.17,2025-08-01
2025-07-28,17339084000195,"Franklin Templeton",0,0,110926079.25,2025-08-01
2025-07-28,17689994000106,"BNP",17265.35,0,97296197.34,2025-08-01
2025-07-28,17898668000109,"Capitânia",0,0,161282387.1,2025-08-01
2025-07-28,17913386000125,"BTG WM",0,0,16306320.41,2025-08-01
2025-07-28,18007644000177,"CEF Asset",3447517.33,1587888.37,6786417718.9,2025-08-01
2025-07-28,18086741000100,"BTG WM",0,0,379337884.36,2025-08-01
2025-07-28,18428655000120,"BB Asset",11687999.4,7662668.75,6064606633.27,2025-08-01
2025-07-28,18599004000101,"SAM",3815095.94,630,14767857322.93,2025-08-01
2025-07-28,18685779000191,"UBS",0,0,13536220.23,2025-08-01
