CNPJ,Fundo,Gestor,DataInicio,idadeMeses,dataM,dataHoje,PL_hoje,PL_medio180,PL_ref,pctAtual,Eleg_0m,Eleg_6m,Eleg_12m,pctExig_0m,pctExig_6m,pctExig_12m,Compra_0m,Compra_6m,Compra_12m,amortEstimada,semDataInicio,semCarteira
64089192000137,TOP DEBÊNTURES 2025 FI INCENTIVADO EM DEBÊNTURES DE INFRA FIF RENDA FIXA CRED PRIV RESP LIMITADA,IAM,2026-01-01,7,202603,2026-08-04,106606317,104620792,104620792,0.0575,6020630,6005344,5990679,0.67,0.67,0.67,64075300,64090587,64105252,0,0,0
62935493000109,LEGACY CAPITAL PRÉ TARGET 2029 FIF FI INCENTIVADO EM DEBÊNTURES DE INFRAESTRUTURA RF RESP LIMITADA,Legacy,2025-10-01,10,202603,2026-08-04,205334598,200558934,200558934,0.3654,73274569,71561928,70848865,0.67,0.67,0.67,61099916,62812557,63525621,1,0,0
63729525000182,CAPITÂNIA INFRA ADVISORY SENIOR II FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRA RENDA FIXA,Capitânia,2025-12-01,8,202603,2026-08-04,115566441,127560062,115566441,0.133,15373754,14635947,14133494,0.67,0.67,0.67,62055761,62793568,63296022,0,0,0
65344961000169,HERITAGE LINE IPCA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA INVESTIMENTO EM INFRA CP RESP LIMIT,Heritage,2026-04-01,4,202603,2026-08-04,94230681,90154051,90154051,0,0,0,0,0,0.67,0.67,0,60403214,60403214,0,0,1
56105999000198,VINCI CRÉDITO INFRA II MASTER FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,Vinci,2024-07-01,25,202603,2026-08-04,337973819,332909962,332909962,0.6821,227087603,222731696,217502313,0.85,0.85,0.85,55885864,60241771,65471155,0,0,0
49843141000165,SAFRA INFRA SELECTION II FIF INV EM INFRAESTRUTURA CI EM INFRA RENDA FIXA RESP LIMITADA,Safra Asset,2023-03-01,41,202603,2026-08-04,178395180,187919454,178395180,0.6053,107988771,94262126,76767477,0.85,0.85,0.85,43647131,57373776,74868426,1,0,0
44315864000178,BRAM DEBÊNTURES INCENT INFLAÇÃO INFRA FIF - CI INCENT DE INV EM INFRA RF LP - RESP LIMITADA,BRAM,2023-01-01,43,202603,2026-08-04,1547542695,1566136450,1547542695,0.8193,1267902052,1258282278,1249430367,0.85,0.85,0.85,47509239,57129013,65980924,1,0,0
63912056000132,HORIZON DEBENTURES INCENTIVADAS FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRA RENDA FIXA,Track,2025-12-01,8,202603,2026-08-04,121008262,111846934,111846934,0.1791,20030619,19576692,17860703,0.67,0.67,0.67,54906827,55360754,57076742,0,0,0
58289474000185,SULAMÉRICA INFRA CDI FIF EM DEBÊNTURES INCENTIVADAS RENDA FIXA RESPONSABILIDADE LIMITADA,Sulamérica,2025-10-01,10,202603,2026-08-04,101591287,99682165,99682165,0.1187,11836089,11836089,11836089,0.67,0.67,0.67,54950961,54950961,54950961,0,0,0
63761168000130,SANTANDER PB PORTO MADERO III INVESTIMENTO EM INFRA RF - FIF RESP LIMITADA,San WM,2026-03-01,5,202603,2026-08-04,120220922,116419397,116419397,0.1999,23275975,23170435,23077959,0,0.67,0.67,0,54830560,54923036,1,0,0
59245392000100,ITAÚ S DEBÊNTURES INCENTIVADAS CDI FIF INCENTIVADO EM INFRA RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA,IAM,2025-02-01,18,202603,2026-08-04,906547919,950551173,906547919,0.7923,718262051,715971546,712685712,0.67,0.85,0.85,0,54594185,57880018,1,0,0
37368078000173,ARX ELBRUS PRO MASTER FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRA RENDA FIXA - RESP LTDA,ARX,2023-01-01,43,202603,2026-08-04,268785744,279716409,268785744,0.6566,176497005,174452303,171984455,0.85,0.85,0.85,51970877,54015580,56483427,1,0,0
62233915000102,RESERV FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA,IAM,2025-10-01,10,202603,2026-08-04,111880387,108492383,108492383,0.1857,20141843,20090117,20024984,0.67,0.67,0.67,52548054,52599779,52664913,0,0,0
57285625000164,TOP 1825 FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RENDA FIXA CRED PRIV RESP LIMITADA,IAM,2024-10-01,22,202603,2026-08-04,348487524,345613834,345613834,0.7023,242740814,241622397,239856541,0.67,0.85,0.85,0,52149362,53915217,1,0,0
57629609000141,KINEA PMFO FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RENDA FIXA CRED PRIV RESP LIMITADA,Kinea,2024-12-01,20,202603,2026-08-04,219480512,205490110,205490110,0.6187,127131359,124866014,122687423,0.67,0.85,0.85,10547015,49800580,51979171,0,0,0
63848566000198,MAMPITUBA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA,BTG WM,2025-12-01,8,202603,2026-08-04,154327164,153343890,153343890,0.3539,54268668,54134325,53875323,0.67,0.67,0.67,48471738,48606081,48865084,0,0,0
58287952000118,ITAÚ GCA DEBÊNTURES INCENTIVADAS IMAB FIF INCENTIVADO EM INFRA RF CRÉD PRIV LP RESP LIMITADA,IAM,2025-03-01,17,202603,2026-08-04,355966200,295354221,295354221,0.5102,150680311,150447569,149920287,0.67,0.67,0.85,47207017,47439759,101130801,1,0,0
58653503000146,OMEGA II FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA,BTG WM,2025-01-01,19,202603,2026-08-04,225930819,219465003,219465003,0.6638,145681936,140042044,132210375,0.67,0.85,0.85,1359616,46503209,54334878,0,0,0
64723744000117,SPARTA MAR MASTER FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA,Sparta,2026-03-01,5,202603,2026-08-04,110228844,104086740,104086740,0.2246,23376524,23319157,23102517,0,0.67,0.67,0,46418959,46635599,0,0,0
54422882000102,BH FUNDO INCENTIVADO DE INVESTIMENTO EM INFRA RENDA FIXA - CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,AF Invest,2024-06-01,26,202603,2026-08-04,230884887,225201978,225201978,0.6519,146803363,145802875,143652818,0.85,0.85,0.85,44618319,45618807,47768864,0,0,0
57300689000197,PWM CHALLENGER FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRED PRIV RESP LIMITADA,Perfin,2024-10-01,22,202603,2026-08-04,318775565,314766700,314766700,0.7217,227174631,222714532,216788866,0.67,0.85,0.85,0,44837163,50762829,1,0,0
61954776000135,STEN DEBÊNTURES INCENTIVADAS FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRA RENDA FIXA,Sten,2025-09-01,11,202603,2026-08-04,158423431,104684501,104684501,0.2576,26966759,26290756,22222920,0.67,0.67,0.67,43171857,43847860,47915696,1,0,0
54618143000190,UBS EVOLUTION CANGURU FUNDO DE INVESTIMENTO EM INFRAESTRUTURA  RENDA FIXA CRED PRIV RESP LIMITADA,UBS,2024-08-01,24,202603,2026-08-04,153387869,141998555,141998555,0.5467,77636420,77438868,77254670,0.85,0.85,0.85,43062351,43259904,43444101,1,0,0
54546664000180,CAPITÂNIA INFRA MASTER VI FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,Capitânia,2024-05-01,27,202603,2026-08-04,731612646,733365616,731612646,0.8139,595473188,578935271,564005654,0.85,0.85,0.85,26397560,42935478,57865095,1,0,0
50198930000170,BURITI FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,BB Asset,2023-04-01,40,202603,2026-08-04,273840744,269230798,269230798,0.6997,188381733,185961366,178869155,0.85,0.85,0.85,40464445,42884813,49977023,0,0,0
62624041000106,AB INFRA FIF FI INCENTIVADO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA,IAM,2026-05-01,3,202603,2026-08-04,62036819,60864507,60864507,0,0,0,0,0,0.67,0.67,0,40779220,40779220,0,0,1
62270059000157,FOUR M FIF FI INCENTIVADO EM DEBÊNTURES DE INFRA RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA,IAM,2025-12-01,8,202603,2026-08-04,87421049,85403378,85403378,0.1947,16629017,16614436,16597068,0.67,0.67,0.67,40591246,40605827,40623195,1,0,0
39723106000159,SPARTA INFLAÇÃO MASTER FUNDO INCENTIVADO DE INVEST FINANCEIRO EM INFRA RENDA FIXA - RESP LTDA,Sparta,2023-01-01,43,202603,2026-08-04,1547491469,1584522658,1547491469,0.8538,1321255895,1275800757,1211054839,0.85,0.85,0.85,0,39566991,104312910,1,0,0
52963364000170,UBS EVOLUTION GM2 FUNDO DE INVESTIMENTO EM INFRAESTRUTURA - RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA,UBS,2024-12-01,20,202603,2026-08-04,227349647,220406419,220406419,0.6834,150628462,149044898,147730506,0.67,0.85,0.85,0,38300558,39614950,1,0,0
62438200000188,BTG PACTUAL CRÉDITO CORPORATIVO PLUS INCENTIVADO CDI FI DE INVESTIMENTO FINANCEIRO EM INFRA RF,BTG Asset,2025-08-01,12,202603,2026-08-04,262222647,247762296,247762296,0.5199,128810246,128472937,127746288,0.67,0.67,0.85,37190492,37527802,82851663,1,0,0
56067569000129,KILAUEA FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,BTG WM,2024-08-01,24,202603,2026-08-04,338596921,336170960,336170960,0.743,249758727,248522588,246280158,0.85,0.85,0.85,35986589,37222728,39465157,0,0,0
56022951000116,PININGA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRAESTRUTURA RF CRED PRIV RESP LIMITADA,IAM,2024-08-01,24,202603,2026-08-04,181599179,178686933,178686933,0.6545,116943534,114785416,105317922,0.85,0.85,0.85,34940358,37098477,46565971,1,0,0
63917614000152,SANTANDER PB ATN INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - FIF RESP LIMITADA,San WM,2025-12-01,8,202603,2026-08-04,104530785,109396145,104530785,0.3182,33265721,33194345,33146685,0.67,0.67,0.67,36769904,36841280,36888940,1,0,0
63025366000135,MUTON INFLAÇÃO FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRED PRIV RESP LIMITADA,IAM,2025-12-01,8,202603,2026-08-04,101417035,65941237,65941237,0.1129,7445694,7436869,7427701,0.67,0.67,0.67,36734935,36743760,36752927,1,0,0
