CNPJ,Nome,Gestor,Segmento,MesBase,PL_Carteira,Disponibilidades,TitulosPublicos,Compromissadas,ParcelaAberta,ParcelaConfid,CotasNaoIdentificadas,CaixaDireto,CaixaIndiretoConfirmado,CaixaIndiretoCandidato,CaixaPotencialTotal,PctPL,ClasseFundoCaixa,PLDiario,DataPLDiario,CaixaEstimadoAtual,FluxoLiquidoPosterior,Cobertura,NivelConfianca,Feeder,CompradorDireto,NoConsolidado,CaixaConsolidado,Justificativa
"58140887000101","G5 MAKTUB II FIF - CI RF INCENTIVADO DE INVESTIMENTO EM INFRA - RESP LIMITADA","G5","12431",202605,46181730.1,2000,0,0,2000,0,0,2000,303529.92,0,305529.92,0.0066,"nao classificado",46588671.18,2026-07-09,308222.17,10,1,alto,nao,sim,sim,305529.92,"caixa indireto via fundo-caixa externo somado ao consolidado"
"62726818000143","BB KAYA INFRA RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RESP LIM","BB Asset","12431",202605,14998630.36,10988.56,0,293415.14,304403.7,0,0,304403.7,0,0,304403.7,0.0203,"nao classificado",15083113.91,2026-07-09,306118.33,17.75,1,alto,nao,sim,sim,304403.7,""
"55379681000132","SANTANDER PB IG3 INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - FIF RESP LIMITADA","San WM","12431",202605,31937889.11,5000,0,0,5000,0,0,5000,291566.29,0,296566.29,0.0093,"nao classificado",32812261.11,2026-07-09,304685.46,88.11,1,alto,nao,sim,sim,296566.29,"caixa indireto via fundo-caixa externo somado ao consolidado"
"60865770000129","ÁGUA BOA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA INVESTIMENTO EM INFRAESTRUTURA","XPG","12431",202605,10479082.44,1000.82,0,0,1000.82,0,0,1000.82,291938.63,0,292939.45,0.028,"nao classificado",10677500.62,2026-07-09,298486.17,8.32,1,alto,nao,sim,sim,292939.45,"caixa indireto via fundo-caixa externo somado ao consolidado"
"55761979000102","G5 STUTTGART FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","G5","12431",202605,12421550.51,3000,286610,0,0,289610,3202453,289610,0,0,289610,0.0233,"nao classificado",12583360.35,2026-07-09,293382.62,-1.9,1,medio,nao,sim,sim,289610,"cotas confidenciais nao identificadas: R$ 3.202.453 (nao viram caixa)"
"59817462000149","BB PEPAME INFRA RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RESP LIM","BB Asset","12431",202605,12881666.7,11477.64,205125.06,71130.94,287733.64,0,0,287733.64,0,0,287733.64,0.0223,"nao classificado",13044384.68,2026-07-09,291368.22,90006.46,1,alto,nao,sim,sim,287733.64,""
"53180560000131","BB AFAM INFRA RF FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RESP LIMITADA","BB Asset","12431",202605,105636865.43,11300.45,0,271680.68,282981.13,0,0,282981.13,0,0,282981.13,0.0027,"nao classificado",106216966.8,2026-07-09,284535.11,42.33,1,alto,nao,sim,sim,282981.13,""
"22013612000151","TURMALINA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA","Perfin","12431",202605,85556893.2,1000,0,0,1000,0,0,1000,272169.13,0,273169.13,0.0032,"nao classificado",98312019.15,2026-07-09,313894.15,11900133.59,1,alto,nao,sim,sim,273169.13,"caixa indireto via fundo-caixa externo somado ao consolidado"
"62078917000166","GAMA INFRA FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESPONSABILIDADE LIMITADA","Oriz","12431",202605,10595846.48,1999,263063,0,0,265062,1681191,265062,0,0,265062,0.025,"nao classificado",10660439.52,2026-07-09,266677.84,1.27,1,medio,nao,sim,sim,265062,"cotas confidenciais nao identificadas: R$ 1.681.191 (nao viram caixa)"
"52259352000160","VENUS CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO - RESP LIMITADA","XPG","12431",202605,228630701.79,70301,190322,0,0,260623,12308209,260623,0,0,260623,0.0011,"nao classificado",229451069.59,2026-07-09,261558.16,-460.13,1,alto,nao,sim,sim,260623,"cotas confidenciais nao identificadas: R$ 12.308.209 (nao viram caixa)"
