Dia,Gestor_Apelido,Captacao,Resgate,Liquido,PL,Num_Fundos
2026-06-02,"Rio Bravo",0,266973.81,-266973.81,128325951.57,3
2026-06-02,"Riza",0,70000,-70000,591234528.84,4
2026-06-02,"Root",0,0,0,199228991.11,1
2026-06-02,"Rubik",0,0,0,52523427.47,1
2026-06-02,"Safra Asset",3538748.13,2077468.97,1461279.16,10113445896.75,72
2026-06-02,"SAM",4611931.24,90864000,-86252068.76,12883195488.25,9
2026-06-02,"San Tsy",0,0,0,19134331541.29,2
2026-06-02,"San WM",0,256132,-256132,6624050454.49,140
2026-06-02,"Scalare",0,3500000,-3500000,1812691076.93,3
2026-06-02,"Seven Pounds",0,0,0,46137969.71,1
2026-06-02,"Somma",0,357881.41,-357881.41,14419243.37,1
2026-06-02,"Sonata",0,0,0,106466689.47,1
2026-06-02,"Sparta",6288482.87,18319.44,6270163.43,9974513189.66,19
2026-06-02,"SPX",70481.28,0,70481.28,1313205153.83,4
2026-06-02,"STK",0,0,0,27356624.69,1
2026-06-02,"Sulamérica",926500,0,926500,1486438600.17,5
2026-06-02,"Suno",0,0,0,70176121.17,2
2026-06-02,"SVN",236052.25,980775.36,-744723.11,309107290.12,1
2026-06-02,"SWM",0,91472.88,-91472.88,527875514.39,4
2026-06-02,"TAG",0,0,0,61607739.54,1
2026-06-02,"Tenax",113871.65,0,113871.65,346785511.86,1
2026-06-02,"Tivio",0,0,0,312475303.67,5
2026-06-02,"Tori 21",0,0,0,14960170.59,1
2026-06-02,"Trígono",0,0,0,41154435.44,1
2026-06-02,"Turim",0,0,0,142541414.79,3
2026-06-02,"UBS",300000,1526994.69,-1226994.69,7375023800.1,77
2026-06-02,"Valia",4281.79,4281.79,0,95091611.17,1
2026-06-02,"Valora",0,0,0,526194590.61,2
2026-06-02,"Vêneto",0,0,0,27915785.38,1
2026-06-02,"Vinci",0,0,0,2135056259.42,5
2026-06-02,"Vinland",724098.88,0,724098.88,4756654416.3,9
2026-06-02,"WHG",0,0,0,70027222.92,2
2026-06-02,"XPG",1498403.04,0,1498403.04,7657375018.53,45
2026-06-02,"YVY",0,0,0,185958664.55,1
2026-06-03,"4UM",0,0,0,75012365.04,1
2026-06-03,"Absolute",2981753.9,83890374.86,-80908620.96,11964017835.8,12
2026-06-03,"Ace",0,0,0,25632541.52,1
2026-06-03,"AF Invest",0,0,0,368832256.13,4
2026-06-03,"Altera",0,20000,-20000,184654177.54,3
2026-06-03,"Andbank",0,0,0,108610613.08,2
2026-06-03,"ARX",3935950.85,36352024.84,-32416073.99,5985534801.03,9
2026-06-03,"ASA",0,0,0,94097564,3
2026-06-03,"Asset 1",0,485000,-485000,114914051.89,2
2026-06-03,"Atena",0,0,0,30865047.85,1
2026-06-03,"Augme",0,6500612.91,-6500612.91,492269178.83,2
2026-06-03,"AZ Quest",68000,1092765,-1024765,765885596.65,3
2026-06-03,"BB Asset",6350060.32,66965466.9,-60615406.58,20201515092.77,93
2026-06-03,"BBM Asset",0,1800000,-1800000,175993284.05,2
2026-06-03,"BDR",0,0,0,172216284.63,2
2026-06-03,"Black Swan",0,0,0,22561286.81,1
2026-06-03,"Bocaina",278000,4570000,-4292000,1071519910.56,9
2026-06-03,"BR Partners",0,0,0,719630872.83,14
2026-06-03,"Brainvest",0,0,0,48871779.28,2
2026-06-03,"BRAM",884843.38,1171806.66,-286963.28,29138147266.66,80
2026-06-03,"BTG Asset",7040231.26,18757228.28,-11716997.02,7356298368.34,13
2026-06-03,"BTG WM",25598297.51,524238669.54,-498640372.03,17008434749.53,219
2026-06-03,"Butiá",0,17999.99,-17999.99,14432855.5,1
2026-06-03,"BV Asset",0,0,0,102727536.06,1
2026-06-03,"Capitânia",930179.28,1025915.09,-95735.81,2796789009.4,14
2026-06-03,"Citrino",0,0,0,71398110.89,1
2026-06-03,"Daycoval",1240900,3912.58,1236987.42,406152158.92,4
2026-06-03,"Daycoval Asset",0,0,0,106299158.47,1
2026-06-03,"Douro",0,0,0,38964585.61,2
2026-06-03,"Drys",0,0,0,23800773.99,1
2026-06-03,"EQI",1656.76,835618.19,-833961.43,107038779.67,1
2026-06-03,"Être-Davos",0,0,0,32794257.3,1
2026-06-03,"Exes",0,0,0,42975642.41,1
2026-06-03,"FAR",0,0,0,6956718.46,1
2026-06-03,"Franklin Templeton",0,0,0,255719182.96,1
2026-06-03,"G5",200000,625000,-425000,2229734022.94,46
2026-06-03,"Galapagos",0,109067.09,-109067.09,140623079.78,2
2026-06-03,"Galt",0,50000,-50000,167498664.15,2
2026-06-03,"GV Atacama",0,0,0,15660725.15,1
2026-06-03,"Heritage",0,0,0,62436956.57,1
2026-06-03,"IAM",28669369.28,222202418.22,-193533048.94,84059286592.36,309
2026-06-03,"Ibuina",1094496.32,41172741.63,-40078245.31,1083762666.43,2
2026-06-03,"Icatu",1832249.34,27413023.75,-25580774.41,5243838539.95,15
2026-06-03,"Inter",891094.25,5565977.77,-4674883.52,1097796014.7,5
2026-06-03,"Iridium",15087.06,111340.99,-96253.93,148227790,2
2026-06-03,"ITAU Tsy",0,0,0,25226062042.85,2
2026-06-03,"Jera",0,0,0,33558915.93,1
2026-06-03,"JGP",747615.36,18346701.96,-17599086.6,3795820406.31,9
2026-06-03,"Jive",0,0,0,436749998.14,1
2026-06-03,"Journey",50521.63,9735.58,40786.05,116036074.59,9
2026-06-03,"Kinea",150620,2665838.38,-2515218.38,14068330633.16,189
2026-06-03,"Lakewood",0,0,0,135893541.29,2
2026-06-03,"Legacy",181967.59,22097235.11,-21915267.52,3975714051.5,9
2026-06-03,"MAG",0,0,0,19205525.87,1
2026-06-03,"Maud",0,0,0,68718569.09,1
2026-06-03,"Mirabaud",0,0,0,37367363.43,1
2026-06-03,"MMZR",0,0,0,10277116.4,1
2026-06-03,"Monte Azul",0,0,0,23388330.54,1
2026-06-03,"Monte Bravo",0,0,0,56293767.35,2
2026-06-03,"Navi",0,0,0,9761961.06,1
2026-06-03,"Newave",0,0,0,49086667.27,1
2026-06-03,"Nikos",47378.67,4420636.53,-4373257.86,218176186.79,3
2026-06-03,"Novus",0,1700000,-1700000,197277902.95,1
2026-06-03,"Nu Asset",0,0,0,104052096.07,1
2026-06-03,"Occam",17000,9789185.45,-9772185.45,1762829288.89,5
2026-06-03,"Opportunity",0,0,0,31579223.33,1
2026-06-03,"Oriz",0,0,0,340651804.26,13
2026-06-03,"Paramis",0,0,0,161636939.87,2
2026-06-03,"Pátria",0,0,0,34661832.5,1
2026-06-03,"Perfin",0,0,0,626711298.06,5
2026-06-03,"Persevera",0,0,0,26033692.15,1
2026-06-03,"Plural",518924.08,5503477.27,-4984553.19,1770848238.49,7
2026-06-03,"Porto Asset",3000,473923.28,-470923.28,91030292.14,2
2026-06-03,"Portofino",0,0,0,350863682.27,10
2026-06-03,"Principal",0,0,0,8660096.3,1
2026-06-03,"Proteus",0,429000,-429000,525932343.66,1
2026-06-03,"Rafter",80000,0,80000,347622696.48,3
2026-06-03,"RB Asset",93000,12989419,-12896419,1123636602.71,6
2026-06-03,"RBR",0,0,0,122370597.25,2
2026-06-03,"Rio Bravo",0,0,0,127708260.02,3
2026-06-03,"Riza",0,5491806.84,-5491806.84,586630209.6,4
2026-06-03,"Root",0,0,0,197836825.32,1
2026-06-03,"Rubik",0,0,0,52300766.98,1
2026-06-03,"Safra Asset",1065678.51,89441527.26,-88375848.75,10005726939.75,72
2026-06-03,"SAM",18605103.66,89718760.81,-71113657.15,12827789104.99,9
2026-06-03,"San Tsy",0,0,0,19145563904.96,2
2026-06-03,"San WM",6157035.48,8212929.37,-2055893.89,6598551182.29,140
2026-06-03,"Scalare",0,0,0,1799536793.54,3
2026-06-03,"Seven Pounds",0,0,0,45881347.12,1
2026-06-03,"Somma",40000,16065.96,23934.04,14482587.12,1
2026-06-03,"Sonata",0,0,0,105921922.34,1
2026-06-03,"Sparta",149978.19,16871194.85,-16721216.66,9933302730.23,19
2026-06-03,"SPX",0,2311685.17,-2311685.17,1313108632.07,4
2026-06-03,"STK",0,0,0,27227193.99,1
2026-06-03,"Sulamérica",367910,627952.49,-260042.49,1489631997.86,5
2026-06-03,"Suno",0,0,0,70008135.52,2
2026-06-03,"SVN",406055.82,858902.7,-452846.88,308047878.41,1
2026-06-03,"SWM",0,0,0,525500037.13,4
2026-06-03,"TAG",0,0,0,61240883.58,1
2026-06-03,"Tenax",140000,965000,-825000,345070625.9,1
2026-06-03,"Tivio",0,0,0,311105976.32,5
2026-06-03,"Tori 21",0,0,0,14796376.04,1
2026-06-03,"Trígono",0,0,0,40910079.07,1
