DataBook,Grupo,EmissorRaw,MatchVia,Instrumento,Regime,Rating,Coordenador,Serie,Prazo,IndexadorFinal,SpreadFinalPct,IpcaEquivFinalPct,TaxaFinalRaw,NtnbFinal,IndexadorTeto,SpreadTetoPct,NtnbTeto,TaxaTetoRaw,CompressaoBps,DemandaMM,EmissaoMM,OverX,BidsAloc,AlocCortePct,Amort
11/07/2025,MRS,,grupo,DEB,12.431,AAA,"XP (Líder), BTG, Safra e Santander",2a,15y (13/14/15),NTN-B,0.08,,"B40 + 0,08% (Fixing hoje)",B40,NTN-B,-0.3,B40,"B40 - 0,30% Des(0,08%)",-38,1360,2200,,13/13-clubdeal,,
11/07/2025,MRS,,grupo,DEB,12.431,AAA,"XP (Líder), BTG, Safra e Santander",1a,7y Bullet,NTN-B,-0.34,7.2638,"B32 - 0,34% (IPCA+7,2638%)",B32,NTN-B,-0.34,B32,"B32 - 0,34%",0,23.1,600,,7/7,,
11/07/2025,MRS,,grupo,DEB,12.431,AAA,"XP (Líder), BTG, Safra e Santander",2a,15y (13/14/15),NTN-B,0.08,7.2509,"B40 + 0,08% (IPCA+7,2509%)",B40,NTN-B,-0.3,B40,"B40 - 0,30% Des(B+0,08%)",-38,1360,2200,,13/13-clubdeal,,
11/07/2025,Copel,/ DEB,grupo,DEB,12.431,AAA,"Safra (Líder), Caixa",1a,"12y, Anual 6y car.",NTN-B,0.02,7.3515,"B35 + 0,02% (IPCA + 7,3515%)",B35,NTN-B,-0.35,B35,"B35 - 0,35% ou IPCA + 6,88% Des(0,02%)",-37,1200,1200,,,,
11/07/2025,Copel,/ DEB,grupo,DEB,12.431,AAA,"Safra (Líder), Caixa",2a,5y (3/4/5),CDI,0.5,,"CDI + 0,50%",,CDI,0.43,,"CDI + 0,43% Des(0,50%)",-7,1300,1300,,,,
11/07/2025,Copel,/ DEB,grupo,DEB,12.431,AAA,"Safra (Líder), Caixa",3a,7y (6/7),CDI,0.63,,"CDI + 0,63%",,CDI,0.58,,"CDI + 0,58% Des(0,63%)",-5,500,500,,,,
14/07/2025,Prio Forte,,grupo,DEB,CVM160,AAA,"BTG (Líder), XP, IBBA, Santander e Citi",1a,5y 4/5,CDI,1.45,,"CDI + 1,45%",,,,,,,2300,2000,,,,
14/07/2025,Prio Forte,,grupo,DEB,CVM160,AAA,"BTG (Líder), XP, IBBA, Santander e Citi",2a,7y (6/7),CDI,1.6,,"CDI + 1,60%",,,,,,,1200,1000,,,,
16/07/2025,Eletrobras,Eletrobrás (Eletronorte) IQ,alias~,DEB,12.431,AAA,"IBBA (L), BBI, BTG, Safra, Santander, UBS-BB, XP e BV",1a,7y (bullet),,0.42,,"DIF30 - 0,42% 13,2474%",,,,,,,166,338.5,,18/18,,
16/07/2025,Eletrobras,Eletrobrás (Eletronorte) IQ,alias~,DEB,12.431,AAA,"IBBA (L), BBI, BTG, Safra, Santander, UBS-BB, XP e BV",2a,7y (bullet),NTN-B,-0.33,7.3146,"B32 - 0,33% IPCA + 7,3146%",B32,,,,,,238,661.5,,19/19,,
16/07/2025,Eletrobras,Eletrobrás (Eletronorte) IQ,alias~,DEB,12.431,AAA,"IBBA (L), BBI, BTG, Safra, Santander, UBS-BB, XP e BV",3a,10y (bullet),NTN-B,-0.2,7.2083,"B35 - 0,20% IPCA + 7,2083%",B35,,,,,,354,1000,,23/23,,
16/07/2025,TIM,,grupo,DEB,CVM160,AAA,"BBI(Líder), UBS BB, BTG e Caixa",1a,5y (4/5),CDI,0.7,,"CDI + 0,70% (piso)",,CDI,0.8,,"CDI + 0,80%",10,4443.9,2791.7,,37/10,,
16/07/2025,TIM,,grupo,DEB,CVM160,AAA,"BBI(Líder), UBS BB, BTG e Caixa",2a,7y (6/7),CDI,0.85,,"CDI + 0,85% (piso)",,CDI,0.95,,"CDI + 0,95%",10,3955.7,2208.3,,41/41,,
16/07/2025,Unipar,,grupo,DEB,CVM160,AA,IBBA(Líder) e BTG,1a,7y (6/7),CDI,1,,"CDI + 1,0%",,CDI,1.15,,"CDI + 1,15%",15,454.9,164.7,,14/9,80%,
16/07/2025,Unipar,,grupo,DEB,CVM160,AA,IBBA(Líder) e BTG,2a,10y (8/9/10),CDI,1.35,,"CDI + 1,35%",,CDI,1.35,,"CDI + 1,35%",0,369.9,300,,10/10,77%,
16/07/2025,Unipar,,grupo,DEB,CVM160,AA,IBBA(Líder) e BTG,3a,7y (6/7),CDI,1.15,,"CDI + 1,15%",,,,,,,435.8,435.8,,9/9,,
23/07/2025,CCR,Autoban,alias,DEB,CVM160,AAA,"Safra (Líder), XP, IBBA, BBI e Santander",1a,7y (6/7),CDI,0.65,,"(Deságio): CDI+ 0,65%",,,,,,,2288,1400,,22/22,,
