Semana,Gestor_Apelido,Captacao,Resgate,Liquido,PL_Medio,Num_Fundos,DataBase
2025-07-28,"Wise",868030.28,581315.42,286714.86,218011829.1,2,2025-08-01
2025-07-28,"WIT",0,0,0,26228481.46,1,2025-08-01
2025-07-28,"XPG",48143256.17,64706717.84,-16563461.67,21323295729.3,44,2025-08-01
2025-07-28,"XVI",0,0,0,17469991.98,1,2025-08-01
2025-07-28,"ZSYS",131841,0,131841,12389151.22,1,2025-08-01
2025-08-04,"4UM",194701.17,390000,-195298.83,312176952.77,2,2025-08-08
2025-08-04,"Absolute",317855126.37,148139245.63,169715880.74,18414407738.81,8,2025-08-08
2025-08-04,"AF Invest",9647781.68,3802621.21,5845160.47,1175575244.58,4,2025-08-08
2025-08-04,"Altera",397601.16,6326.4,391274.76,109140839.45,2,2025-08-08
2025-08-04,"Amazonia",0,0,0,298421179,1,2025-08-08
2025-08-04,"AMW",4180116.11,854000,3326116.11,1350271824.07,8,2025-08-08
2025-08-04,"Angá",0,0,0,2445628.84,1,2025-08-08
2025-08-04,"Aramus",0,0,0,22272307.04,1,2025-08-08
2025-08-04,"ARX",146821221.31,120612461.41,26208759.9,19215522811.68,13,2025-08-08
2025-08-04,"ASA",40575,243572.65,-202997.65,296933500.61,5,2025-08-08
2025-08-04,"Asset 1",32250000,0,32250000,145242558.15,1,2025-08-08
2025-08-04,"Atena",2914937.3,2517223.95,397713.35,885416159.11,5,2025-08-08
2025-08-04,"Augme",32136514,16488931,15647583,2187214839.93,15,2025-08-08
2025-08-04,"AZ Quest",156801041.59,213069879.58,-56268837.99,25086747284.65,12,2025-08-08
2025-08-04,"Banrisul",165074891.73,211299699.16,-46224807.43,4377817996.41,4,2025-08-08
2025-08-04,"BB Asset",3938636919.51,3246939375.64,691697543.87,241493291996.27,19,2025-08-08
2025-08-04,"BBM Asset",309662.26,3317245.21,-3007582.95,1315015622.06,6,2025-08-08
2025-08-04,"Berkana",0,0,0,30816546.95,1,2025-08-08
2025-08-04,"BNP",3046331.92,3324200,-277868.08,6497391111.96,12,2025-08-08
2025-08-04,"Bocaina",62000,0,62000,73132690.23,2,2025-08-08
2025-08-04,"Brainvest",1303216.17,633.36,1302582.81,355609615.09,11,2025-08-08
2025-08-04,"BRAM",2514864196.74,1290975120.31,1223889076.43,173176536581.19,38,2025-08-08
2025-08-04,"Brave",3794837.86,199710.83,3595127.03,366080557.22,2,2025-08-08
2025-08-04,"BRM",0,0,0,57212901.3,1,2025-08-08
2025-08-04,"BRZ",105686.95,2342.48,103344.47,570669252.52,6,2025-08-08
2025-08-04,"BTG Asset",284031730.86,131817978.67,152213752.19,27243223562.93,37,2025-08-08
2025-08-04,"BTG WM",26262920.92,18534413.96,7728506.96,4809849417.16,55,2025-08-08
2025-08-04,"Butiá",5789000,5824000,-35000,582841385.45,3,2025-08-08
2025-08-04,"BV Asset",0,0,0,1297835.48,1,2025-08-08
2025-08-04,"Capitânia",9376791.22,93854613.29,-84477822.07,4650233677.13,20,2025-08-08
2025-08-04,"Capri",0,0,0,260273080.59,5,2025-08-08
2025-08-04,"Cartor",400868.45,6270875.16,-5870006.71,712877456.74,1,2025-08-08
2025-08-04,"CEF Asset",830546858.8,274492419.78,556054439.02,65587381795.45,11,2025-08-08
2025-08-04,"Chromo",0,150000,-150000,97010231.07,1,2025-08-08
2025-08-04,"DAO",0,0,0,36641747.2,1,2025-08-08
2025-08-04,"Daycoval",33226860.95,90040825.43,-56813964.48,4118688961.69,7,2025-08-08
2025-08-04,"Devant",100,91272.85,-91172.85,17862321.62,2,2025-08-08
2025-08-04,"Drys",37780931.51,9536698.4,28244233.11,422287777.41,2,2025-08-08
2025-08-04,"Dynamo",0,0,0,653806192.01,2,2025-08-08
2025-08-04,"Ekho",0,0,0,21130189.19,1,2025-08-08
