Mes,Gestor_Apelido,Captacao,Resgate,Liquido
2025-10,"Dynamo",13350000,34101186.1,-20751186.1
2025-10,"Ekho",0,0,0
2025-10,"EQI",15986910.17,12668000.01,3318910.16
2025-10,"Exploritas",762206.85,2241384.61,-1479177.76
2025-10,"EXT",0,90000,-90000
2025-10,"FAR",150000,300000,-150000
2025-10,"Finacap",57889.77,165403.15,-107513.38
2025-10,"Franklin Templeton",85135919.33,307834951.91,-222699032.58
2025-10,"Funcef",0,0,0
2025-10,"G5",23395999.52,18823782.84,4572216.68
2025-10,"Galapagos",80000000,0,80000000
2025-10,"Galt",5666951.63,915327.21,4751624.42
2025-10,"Gauss",0,0,0
2025-10,"GHT4",396966.97,1333961.45,-936994.48
2025-10,"Global",16239090.36,0,16239090.36
2025-10,"Guardian",15183900.89,5526395.01,9657505.88
2025-10,"IAM",18498811574.06,20411473194.29,-1912661620.23
2025-10,"Ibuina",87763104.32,61072496.28,26690608.04
2025-10,"Icatu",1008879606.53,543521606.88,465357999.65
2025-10,"Impacto",0,277370.13,-277370.13
2025-10,"Integral",5074592.93,3856846.77,1217746.16
2025-10,"Inter",159684458.37,176866210.31,-17181751.94
2025-10,"Investcoop",41700000,6728981.02,34971018.98
2025-10,"Iridium",149234295.63,102564329.07,46669966.56
2025-10,"JGP",518817277.38,248840451.02,269976826.36
2025-10,"Jive",30080475.91,8617902.26,21462573.65
2025-10,"Kadima",0,0,0
2025-10,"Kinea",2714159160.26,1277382042.29,1436777117.97
2025-10,"Lakewood",433349.65,8735711.64,-8302361.99
2025-10,"Legacy",35977144.6,231396457.71,-195419313.11
2025-10,"Lerosa",100000,15050,84950
2025-10,"Levante",335000,0,335000
2025-10,"Lifetime",0,2425240.97,-2425240.97
2025-10,"M8",56142527.16,18853941.25,37288585.91
2025-10,"MAG",63206268.41,117211378.18,-54005109.77
2025-10,"Maud",1150000,738395.25,411604.75
2025-10,"Mirabaud",10618892.64,1312527.91,9306364.73
2025-10,"Monte Azul",0,100000,-100000
2025-10,"Monte Bravo",192111648.18,185029764.84,7081883.34
2025-10,"Nest",0,0,0
2025-10,"Norte",792317.71,1790957.79,-998640.08
2025-10,"Novus",25220393.29,2150193.7,23070199.59
2025-10,"Nu Asset",42365000,101777000,-59412000
2025-10,"Occam",493409130.79,730697667.7,-237288536.91
2025-10,"Onze",5025438.31,581249.7,4444188.61
2025-10,"Oriz",17800000,60600,17739400
2025-10,"Paramis",125991723.41,83211335.76,42780387.65
2025-10,"Patagônia",100000,769269.9,-669269.9
2025-10,"Pátria",12575411.16,0,12575411.16
2025-10,"Plural",77119095.09,136234531.77,-59115436.68
2025-10,"PNBY",1798499.87,101103334.24,-99304834.37
2025-10,"Polígono",0,0,0
2025-10,"Polo",35130026.96,32884449.56,2245577.4
2025-10,"Porto Asset",803037719.49,883744276.8,-80706557.31
2025-10,"Portofino",76616913.7,24959398.18,51657515.52
2025-10,"Prada",600000,143823.39,456176.61
2025-10,"Previ",0,0,0
2025-10,"Principal",6981851.97,61222112.64,-54240260.67
2025-10,"Prumo",0,30184.96,-30184.96
2025-10,"Quantitas",2331000,15079337.43,-12748337.43
2025-10,"Rafter",9393093.66,16079987.75,-6686894.09
2025-10,"Reach",150000,0,150000
2025-10,"Regia",193588972.6,259848831.92,-66259859.32
2025-10,"Rio Bravo",7876028.65,13454895.25,-5578866.6
2025-10,"Riza",564837960.38,760367325.53,-195529365.15
2025-10,"Root",101282982.46,55625882.69,45657099.77
2025-10,"Rubik",0,0,0
2025-10,"Safra Asset",11668221197.26,3539986058.6,8128235138.66
2025-10,"SAM",5122194496.37,4450045555.57,672148940.8
2025-10,"San WM",11390000,18749755.25,-7359755.25
2025-10,"Scalare",0,35544.16,-35544.16
2025-10,"SFI",2095187.61,2041974.08,53213.53
2025-10,"Solis",16924787.7,11085479.91,5839307.79
2025-10,"Somma",7139553.63,5957043.2,1182510.43
2025-10,"Sonata",4976687.13,52000,4924687.13
2025-10,"Sparta",237276953.98,430149641.56,-192872687.58
2025-10,"Springs",4700000,0,4700000
2025-10,"SPX",209562945.46,172209932.81,37353012.65
2025-10,"Starboard",10314.87,0,10314.87
2025-10,"Stonex",1148000,302406.52,845593.48
2025-10,"Strix",9400000,13355000,-3955000
2025-10,"Sulamérica",1633666656.94,1554129861.4,79536795.54
2025-10,"SVN",124249551.81,130357668.71,-6108116.9
2025-10,"TAG",150000,250000,-100000
2025-10,"Tagus",665769.14,106497980.02,-105832210.88
2025-10,"Tenax",0,2000,-2000
2025-10,"Tivio",1463343339.76,307933046.17,1155410293.59
2025-10,"Trígono",10386937.12,4464861.16,5922075.96
2025-10,"Troon",5781472.82,0,5781472.82
2025-10,"Turim",7793232.46,11535499.67,-3742267.21
2025-10,"Tyton",48594940.18,11173700.72,37421239.46
2025-10,"UBS",1237167126.48,1628365043.48,-391197917
2025-10,"Valora",136954503.25,132163178.39,4791324.86
2025-10,"VCM",21039.97,210552.18,-189512.21
2025-10,"Vêneto",0,0,0
2025-10,"Verde",259000,12041000,-11782000
2025-10,"Vinci",59200754.02,179912171.76,-120711417.74
2025-10,"Vinland",553633003.08,597196771.05,-43563767.97
2025-10,"Vitra",0,0,0
2025-10,"VLGI",46802743.93,49976456.86,-3173712.93
2025-10,"Vox",75133472.87,218972.89,74914499.98
2025-10,"Warren",2484769.1,1860219.73,624549.37
2025-10,"Wise",86764761.48,27596455.91,59168305.57
2025-10,"WIT",550000,0,550000
2025-10,"XPG",1829137626.85,1767014432.43,62123194.42
2025-10,"XVI",193730.99,1877828.15,-1684097.16
2025-10,"ZSYS",6349876.68,237175.9,6112700.78
