CNPJ,Ref,Media180,NDias
59870227000130,202601,24177491,126
59870227000130,202602,24450794,124
59870227000130,202603,24706764,123
59870227000130,202604,24872566,122
59870227000130,202605,25373635,121
59870227000130,202606,25906301,122
59870227000130,202607,26474621,124
59870227000130,HOJE,26541338,122
59873582000163,202512,14553339,126
59873582000163,202601,14653416,126
59873582000163,202602,14766708,124
59873582000163,202603,14841959,123
59873582000163,202604,14920103,122
59873582000163,202605,14971365,121
59873582000163,202606,14985476,122
59873582000163,202607,14916967,124
59873582000163,HOJE,14874135,122
59878473000139,202512,62642902,118
59878473000139,202601,63879771,118
59878473000139,202602,64618582,116
59878473000139,202603,65328286,113
59878473000139,202604,65837985,101
59878473000139,202605,66215094,91
59878473000139,202606,66526781,77
59878473000139,202607,67138201,64
59878473000139,HOJE,67181428,60
59884498000145,202512,5329013,126
59884498000145,202601,5379030,126
59884498000145,202602,5433276,124
59884498000145,202603,5524006,123
59884498000145,202604,5527837,121
59884498000145,202605,5464650,120
59884498000145,202606,5408262,121
59884498000145,202607,5355039,120
59884498000145,HOJE,5348035,117
59888220000146,202512,25323269,126
59888220000146,202601,26591214,126
59888220000146,202602,27829685,124
59888220000146,202603,29204941,123
59888220000146,202604,29756644,122
59888220000146,202605,30264108,121
59888220000146,202606,30773839,122
59888220000146,202607,31314831,124
59888220000146,HOJE,31386258,121
59889169000197,202512,1479631687,126
59889169000197,202601,1937874936,126
59889169000197,202602,2348276993,124
59889169000197,202603,2786133088,123
59889169000197,202604,3090268076,122
59889169000197,202605,3262628465,121
59889169000197,202606,3362231483,122
59889169000197,202607,3450300792,124
59889169000197,HOJE,3461505662,122
59904332000143,202512,56887815,126
59904332000143,202601,65675986,126
59904332000143,202602,73320185,124
59904332000143,202603,78270379,123
59904332000143,202604,78068348,122
59904332000143,202605,77105724,121
59904332000143,202606,75929105,122
59904332000143,202607,74899376,124
59904332000143,HOJE,74717594,122
59907848000141,202512,10878928,126
59907848000141,202601,13648471,126
59907848000141,202602,16327176,124
59907848000141,202603,19062953,123
59907848000141,202604,21149838,122
59907848000141,202605,22871069,121
59907848000141,202606,24104793,122
59907848000141,202607,25401733,124
59907848000141,HOJE,25572787,122
59910896000199,202512,15157945,126
59910896000199,202601,16328186,126
59910896000199,202602,17322532,124
59910896000199,202603,18488084,123
59910896000199,202604,18690491,122
59910896000199,202605,18845049,121
59910896000199,202606,18958320,122
59910896000199,202607,19083044,124
59910896000199,HOJE,19094798,122
59911193000185,202512,10497926,126
59911193000185,202601,10530938,126
59911193000185,202602,10533461,124
59911193000185,202603,10494680,123
59911193000185,202604,10437490,122
59911193000185,202605,10463177,121
59911193000185,202606,10499964,122
59911193000185,202607,10523275,124
59911193000185,HOJE,10521456,122
59941697000148,202512,14876753,126
59941697000148,202601,14985677,126
59941697000148,202602,15116979,124
59941697000148,202603,15211118,123
59941697000148,202604,15308747,122
59941697000148,202605,15370461,121
59941697000148,202606,15383315,122
59941697000148,202607,15405199,124
59941697000148,HOJE,15400213,122
59941827000142,202512,8335336,126
59941827000142,202601,8393405,126
59941827000142,202602,8806034,124
59941827000142,202603,9466373,123
59941827000142,202604,10078262,122
59941827000142,202605,10692570,121
59941827000142,202606,11309107,122
59941827000142,202607,11969389,124
59941827000142,HOJE,12084089,122
59995885000159,202512,21096617,126
59995885000159,202601,21329440,126
59995885000159,202602,21579090,124
59995885000159,202603,21519000,123
59995885000159,202604,21363050,122
59995885000159,202605,21140745,121
59995885000159,202606,20896534,122
59995885000159,202607,20640181,124
59995885000159,HOJE,20583168,122
59997256000168,202512,19002512,126
59997256000168,202601,24609026,126
59997256000168,202602,30292450,124
59997256000168,202603,36765814,123
59997256000168,202604,42046861,122
59997256000168,202605,47740719,121
59997256000168,202606,55176365,122
59997256000168,202607,65982084,124
59997256000168,HOJE,67533917,122
60008150000173,202512,484180502,126
60008150000173,202601,507139759,126
60008150000173,202602,528534410,124
60008150000173,202603,549665661,123
60008150000173,202604,564943205,122
60008150000173,202605,580075511,121
60008150000173,202606,593275922,122
60008150000173,202607,603603932,124
60008150000173,HOJE,604569439,121
60029151000102,202512,7662589,124
60029151000102,202601,8211091,126
60029151000102,202602,8535709,124
60029151000102,202603,8651632,123
60029151000102,202604,9146336,122
60029151000102,202605,9986707,121
60029151000102,202606,10857871,122
60029151000102,202607,11886811,124
60029151000102,HOJE,12008905,121
