CNPJ_Fundo,Nome_Fundo,Gestor_Apelido,PctCDI_1s,PctCDI_1m,PctCDI_3m,PctCDI_6m,PctCDI_12m
62392905000101,"ZSYS HELLIER FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO","ZSYS",90.966,99.6624,108.833,95.1159,
62603317000170,"A1 II FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO RESP LIMITADA","Asset 1",142.1168,120.0621,126.9962,119.3989,
62670474000106,"ROOT CAPITAL HG PREVIDENCIÁRIO PLUS XP FI FINANCEIRO MULTIMERCADO CRÉD PRIV - RESP LIMITADA","Root",123.921,113.3269,125.8678,111.3789,
62736500000143,"DW I CRÉDITOS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO","BTG Asset",132.8895,128.1836,134.5902,135.3851,
62772990000133,"ATENA CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA","BTG Asset",22.5806,49.2293,89.8209,100.1076,
62870208000119,"UNIMED COOP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA","BTG Asset",123.0159,105.54,105.8891,,
62910859000195,"PRINCE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO","BTG WM",102.1307,98.7703,110.4027,98.8549,
62939100000135,"FCOPEL FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO IV - RESPONSABILIDADE LIMITADA","BRZ",101.0946,118.4714,97.0988,117.9336,
62970324000100,"PATRI 2 FIF FI INCENTIVADO EM DEBÊNTURES DE INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA","IAM",61.9987,70.2215,,,
63073919000125,"BRADESCO DANA FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA","BRAM",117.8138,110.9627,120.4296,104.4162,
63105295000180,"UBS EVOLUTION MINERVA INFRA FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RF CREDITO PRIVADO RESP LIMITADA","UBS",63.8051,93.8418,116.3421,99.4482,
63105532000103,"UBS EVOLUTION ESMERALDA INFRA FUNDO DE INVESTIMENTO EM INFRAESTRUTURA - RF CRED PRIV RESP LIMITADA","UBS",79.918,84.3873,13.4006,58.1969,
63110995000163,"UBS EVOLUTION CATOLÉ FUNDO DE INVESTIMENTO EM INFRAESTRUTURA - RENDA FIXA CRED PRIV RESP LIMITADA","UBS",74.1849,85.1389,60.8361,81.8223,
