Semana,Gestor_Apelido,Captacao,Resgate,Liquido,PL_Medio,Num_Fundos,DataBase
2025-08-04,"Jera",0,0,0,39916721,1,2025-08-08
2025-08-04,"JGP",16257571.67,2760559.73,13497011.94,2385863793.14,8,2025-08-08
2025-08-04,"Journey",5853599.53,1695895.84,4157703.69,601842110.61,10,2025-08-08
2025-08-04,"Kinea",2305190.23,28787312.22,-26482121.99,13233671535.6,182,2025-08-08
2025-08-04,"Lakewood",0,0,0,73498729.29,1,2025-08-08
2025-08-04,"Legacy",127556281.64,7666468.45,119889813.19,2366446151.81,5,2025-08-08
2025-08-04,"MAG",0,0,0,16778250.18,1,2025-08-08
2025-08-04,"Maud",100000,1326548.98,-1226548.98,45342617.97,1,2025-08-08
2025-08-04,"Mirabaud",776526.18,0,776526.18,26517928.3,1,2025-08-08
2025-08-04,"MMZR",0,0,0,6450136.4,1,2025-08-08
2025-08-04,"Monte Azul",0,0,0,22258481.93,1,2025-08-08
2025-08-04,"Monte Bravo",0,0,0,52794954.81,2,2025-08-08
2025-08-04,"Navi",0,0,0,9622613.38,1,2025-08-08
2025-08-04,"Newave",0,0,0,40544022.81,1,2025-08-08
2025-08-04,"Nikos",18695231.17,3082426.67,15612804.5,252333065.04,3,2025-08-08
2025-08-04,"Novus",4300000,0,4300000,54347653.65,1,2025-08-08
2025-08-04,"Nu Asset",0,0,0,65742224.43,1,2025-08-08
2025-08-04,"Occam",7999694.11,140000,7859694.11,142417846.86,2,2025-08-08
2025-08-04,"Opportunity",0,0,0,24134352.72,1,2025-08-08
2025-08-04,"Oriz",173301.09,0,173301.09,303342551.02,9,2025-08-08
2025-08-04,"Paramis",170000,130000,40000,159970209.89,2,2025-08-08
2025-08-04,"Pátria",0,0,0,34919653.88,1,2025-08-08
2025-08-04,"Perfin",100000,0,100000,555133382.35,5,2025-08-08
2025-08-04,"Persevera",0,0,0,73693589.79,1,2025-08-08
2025-08-04,"Plural",36287570.11,32480725.71,3806844.4,1106768607.49,5,2025-08-08
2025-08-04,"Porto Asset",190028.29,21431.5,168596.79,62614648.11,2,2025-08-08
2025-08-04,"Portofino",0,0,0,334526894.15,10,2025-08-08
2025-08-04,"Principal",2772,0,2772,14887972.64,1,2025-08-08
2025-08-04,"Proteus",51099653.19,141000,50958653.19,845292061.64,1,2025-08-08
2025-08-04,"Rafter",2826981.89,0,2826981.89,312920055.3,3,2025-08-08
2025-08-04,"RB Asset",0,3064000,-3064000,1228521768.75,4,2025-08-08
2025-08-04,"RBR",0,0,0,117065429.42,2,2025-08-08
2025-08-04,"Rio Bravo",521813.9,200000,321813.9,64287087.72,3,2025-08-08
2025-08-04,"Riza",4701426.42,1149796.58,3551629.84,200689145.14,2,2025-08-08
2025-08-04,"Root",0,0,0,165135517.63,1,2025-08-08
2025-08-04,"Rubik",0,0,0,48789068.36,1,2025-08-08
