Gestor_Apelido,Retorno_1s,Retorno_1m,Retorno_3m,Retorno_6m,Retorno_12m,PctCDI_1s,PctCDI_1m,PctCDI_3m,PctCDI_6m,PctCDI_12m,DataBase
"Reach",0.287,1.1999,1.6665,1.6665,1.6665,109.1373,107.9438,49.6127,24.2315,11.296,2026-07-13
"Regia",0.2797,1.2237,1.6736,1.6736,1.6736,106.381,110.0813,49.8255,24.3354,11.3444,2026-07-13
"Rio Bravo",0.015,0.9062,1.3765,1.3765,1.3765,5.6951,81.5207,40.9789,20.0146,9.3302,2026-07-13
"Riza",0.3032,1.2513,1.7321,1.7321,1.7321,115.3053,112.5672,51.5649,25.185,11.7404,2026-07-13
"Root",0.3723,1.457,1.9705,1.9705,1.9705,141.5832,131.0715,58.665,28.6527,13.357,2026-07-13
"Rubik",0.1002,1.2007,1.2815,1.2815,1.2815,38.1017,108.0189,38.1507,18.6333,8.6863,2026-07-13
"Safra Asset",0.2766,1.1437,1.5727,1.5727,1.5727,105.205,102.8882,46.8218,22.8684,10.6605,2026-07-13
"SAM",0.2877,1.1996,1.6008,1.6008,1.6008,109.422,107.919,47.658,23.2768,10.8509,2026-07-13
"San WM",0.2646,1.1373,1.5602,1.5602,1.5602,100.6518,102.3087,46.4489,22.6862,10.5756,2026-07-13
"Scalare",0.826,0.5457,0.0154,0.0154,0.0154,314.158,49.0927,0.4572,0.2233,0.1041,2026-07-13
"SFI",0.3308,1.1883,1.753,1.753,1.753,125.8131,106.9021,52.1886,25.4896,11.8824,2026-07-13
"Solis",0.2996,1.2703,1.6817,1.6817,1.6817,113.9377,114.2804,50.0652,24.4525,11.399,2026-07-13
"Somma",0.2935,1.2133,1.7601,1.7601,1.7601,111.633,109.1523,52.3991,25.5924,11.9304,2026-07-13
"Sonata",0.2826,1.0326,1.2,1.2,1.2,107.4878,92.8916,35.7241,17.4481,8.1338,2026-07-13
"Sparta",0.2872,1.1632,1.5974,1.5974,1.5974,109.2308,104.6411,47.5566,23.2273,10.8278,2026-07-13
"Springs",0.7686,-6.5101,-7.2046,-7.2046,-7.2046,292.3237,-585.6552,-214.4878,-104.7586,-48.8352,2026-07-13
"SPX",0.3716,1.2106,1.7236,1.7236,1.7236,141.3109,108.9051,51.3132,25.062,11.6831,2026-07-13
"Starboard",1.4521,5.8179,4.8079,4.8079,4.8079,552.2684,523.3776,143.1352,69.9091,32.5894,2026-07-13
"Stonex",0.3714,1.2014,1.7253,1.7253,1.7253,141.2701,108.0823,51.3636,25.0866,11.6946,2026-07-13
"Strix",0.2789,1.2087,1.6944,1.6944,1.6944,106.0782,108.7333,50.4431,24.6371,11.485,2026-07-13
"Sulamérica",0.2962,1.1857,1.6519,1.6519,1.6519,112.6674,106.6663,49.1787,24.0195,11.1971,2026-07-13
"SVN",0.3171,1.1774,1.3768,1.3768,1.3768,120.5938,105.9178,40.9897,20.0199,9.3326,2026-07-13
"TAG",0.3126,1.3524,1.8431,1.8431,1.8431,118.9027,121.6663,54.8721,26.8003,12.4934,2026-07-13
"Tagus",0.4043,1.3253,1.7796,1.7796,1.7796,153.7551,119.2276,52.9809,25.8765,12.0628,2026-07-13
"Tenax",0.1486,1.0347,1.3741,1.3741,1.3741,56.5168,93.084,40.9092,19.9806,9.3143,2026-07-13
"Tivio",0.2999,1.2043,1.6361,1.6361,1.6361,114.0743,108.3393,48.7074,23.7893,11.0898,2026-07-13
"Trígono",0.2814,0.9574,1.4413,1.4413,1.4413,107.0284,86.1247,42.9083,20.9569,9.7695,2026-07-13
