CNPJ Gestor,Nome Gestor,Apelido Gestor
02.933.874/0001-27,RAFTER GESTÃO DE INVESTIMENTOS LTDA,Rafter
41.647.788/0001-00,RAM GESTORA DE RECURSOS LTDA.,RAM
07.981.934/0001-09,RB ASSET MANAGEMENT LTDA,RB Asset
44.361.607/0001-72,RBR INFRA GESTORA DE RECURSOS LTDA.,RBR
28.928.618/0001-35,REACH CAPITAL INVESTIMENTOS S.A,Reach
12.046.915/0001-17,REAL CAPITAL PARTNERS LTDA,Real Capital
34.269.803/0001-68,REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,Real Grandeza
54.464.258/0001-78,REGIA CAPITAL LTDA,Regia
03.864.607/0001-08,RIO BRAVO INVESTIMENTOS LTDA,Rio Bravo
01.582.075/0001-90,RIO GRANDE SEGUROS E PREVIDÊNCIA S.A.,Rio Grande
50.715.649/0001-67,RIZA LÍQUIDOS GESTORA DE RECURSOS LTDA.,Riza
14.101.538/0001-05,RJ GESTÃO DE RECURSOS LTDA,RJ
11.397.040/0001-35,ROOT CAPITAL - GESTÃO DE RECURSOS LTDA,Root
42.177.684/0001-41,RUBIK CAPITAL ASSET MANAGEMENT LTDA.,Rubik
01.638.542/0001-57,SAFRA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,Safra Asset
65.913.436/0001-17,SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Safra Asset
11.120.589/0001-88,SAFRA GESTÃO DE RECURSOS LTDA,Safra Asset
03.502.968/0001-04,SANTANDER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,SAM
90.400.888/0001-42,BANCO SANTANDER (BRASIL) S.A.,SAM
10.231.177/0001-52,SANTANDER BRASIL GESTÃO DE RECURSOS LTDA,SAM
27.222.262/0001-57,SASTRE GESTÃO DE PATRIMÔNIO LTDA.,Sastre
46.189.909/0001-30,SCALARE CAPITAL LTDA.,Scalare
29.738.952/0001-99,SERPROS FUNDO MULTIPATROCINADO,Serpros
56.993.232/0001-42,SETE ASSET MANAGEMENT LTDA.,Sete
39.433.649/0001-31,SEVEN POUNDS ASSET MANAGEMENT LTDA.,Seven Pounds
04.608.141/0001-42,SFI INVESTIMENTOS LTDA,SFI
07.262.715/0001-61,SITA GESTÃO DE RECURSOS LTDA,Sita
31.887.727/0001-66,SMARTSAVE GESTORA DE RECURSOS S.A.,Smartsave
17.254.708/0001-71,SOLIS INVESTIMENTOS S A,Solis
05.563.299/0001-06,SOMMA INVESTIMENTOS S.A.,Somma
29.247.309/0001-62,SOMMA MULTI-FAMILY OFFICE S.A.,Somma
29.996.127/0001-94,SONATA GESTORA DE RECURSOS LTDA,Sonata
18.167.206/0001-76,STRATEGIC PORTFOLIO ADVISORS - GESTORA DE RECURSOS LTDA,SPA
72.745.714/0001-30,SPARTA ADMINISTRADORA DE RECURSOS LTDA,Sparta
09.576.295/0001-13,SPRINGS CAPITAL LTDA.,Springs
12.330.774/0001-60,SPX GESTÃO DE RECURSOS LTDA,SPX
34.293.150/0001-52,SPX CRÉDITO GESTÃO DE RECURSOS LTDA.,SPX
