CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;CNPJ Gestor;Nome Gestor;Gestor Apelido
04.356.413/0001-64;JAGUAR FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE LIMITADA;09.262.533/0001-16;BTGP WM 3 LTDA;BTG WM
04.426.895/0001-81;SANTANDER PB BF MULTIMERCADO CRÉDITO PRIVADO - FIF;03.502.968/0001-04;SANTANDER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;SAM
04.444.179/0001-27;ANTARCTICA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
04.484.351/0001-76;SULAMERICA MIX 40 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;54.286.457/0001-33;Sul América Gestão de Investimentos S.A.;Sulamérica
04.501.865/0001-92;BTG PACTUAL CAPITAL MARKETS FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;29.650.082/0001-00;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;BTG Asset
04.511.286/0001-20;ICATU SEG DURATION CLASSE DE INVESTIMENTO RENDA FIXA - RESP LIMITADA;42.283.770/0001-39;ICATU SEGUROS S/A;Icatu
04.511.306/0001-63;IU WESTERN ASSET PERFORMANCE V FIF RENDA FIXA RESP LIMITADA;07.437.241/0001-41;Franklin Templeton Brasil Ltda.;Franklin Templeton
04.519.722/0001-08;ÁQUILA 1 FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA;54.286.457/0001-33;Sul América Gestão de Investimentos S.A.;Sulamérica
04.551.365/0001-65;AQUILA 2 FI FINANCEIRO - CI MULT - RESP LIMITADA;15.289.957/0001-77;XP ADVISORY GESTAO DE RECURSOS LTDA;XPG
04.553.189/0001-09;DAYCOVAL ASTOR FUNDO DE INVESTIMENTO FINANCEIRO;72.027.832/0001-02;DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA;Daycoval
04.573.104/0001-46;SANTANDER BANDEPREV MULTIMERCADO CRÉDITO PRIVADO - FIF RESP LIMITADA;10.231.177/0001-52;SANTANDER BRASIL GESTÃO DE RECURSOS LTDA;SAM
04.573.108/0001-24;BARRA VELHA II FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
04.587.998/0001-23;PÉRICLES CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;19.807.960/0001-96;ASA ASSET MANAGEMENT LTDA.;ASA
04.588.017/0001-62;COMSHELL WA CLASSE DE INVESTIMENTO RENDA  FIXA - RESP LIMITADA;07.437.241/0001-41;Franklin Templeton Brasil Ltda.;Franklin Templeton
04.592.305/0001-90;BB AGATA II FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
04.616.035/0001-00;SULAMERICA MIX 49 I FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;54.286.457/0001-33;Sul América Gestão de Investimentos S.A.;Sulamérica
04.618.345/0001-64;ALBATROZ FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;13.189.882/0001-27;JGP GESTÃO DE CREDITO LTDA;JGP
04.621.721/0001-70;XP CORPORATE TOP CRÉDITO PRIVADO FI FINANCEIRO EM RENDA FIXA LONGO PRAZO - RESPONSABILIDADE LIMITADA;16.789.525/0001-98;XP VISTA ASSET MANAGEMENT LTDA.;XPG
04.667.988/0001-06;MILÊNIO AC FI FINANCEIRO - CI MULT - RESP LIMITADA;32.500.613/0001-84;CAIXA BENEFICENTE DOS EMPREGADOS DA CSN - CBS;CBS
04.682.806/0001-68;SUPLEMENTAÇÃO FI FINANCEIRO - CI RF - RESP LIMITADA;32.500.613/0001-84;CAIXA BENEFICENTE DOS EMPREGADOS DA CSN - CBS;CBS
04.700.366/0001-24;TANZANITA 1 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
04.700.879/0001-35;EGEON PREVIDENCIÁRIO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
04.701.028/0001-07;PREVINDUS MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
04.701.088/0001-20;TELOS BAIXO RISCO II FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
04.703.001/0001-53;ITAÚ KEY SOURCE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
04.733.518/0001-95;EROS FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;00.532.804/0001-31;CERES - FUNDAÇÃO DE PREVIDÊNCIA;Ceres
04.738.195/0001-22;SULAMERICA FIX 100 II FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;54.286.457/0001-33;Sul América Gestão de Investimentos S.A.;Sulamérica
04.738.201/0001-41;SULAMERICA FIX 100 VI FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;54.286.457/0001-33;Sul América Gestão de Investimentos S.A.;Sulamérica
04.764.174/0001-81;INSTITUTIONAL ACTIVE FIX IB MULTIMERCADO FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
04.764.252/0001-48;MONT BLANC PREVIDENCIÁRIO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;02.562.663/0001-25;BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA;BNP
04.786.966/0001-57;DUCAPE FUNDO DE INVESTIMENTO FINANCEIRO;62.232.889/0001-90;BANCO DAYCOVAL S.A.;Daycoval Asset
