CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;CNPJ Gestor;Nome Gestor;Gestor Apelido
29.241.780/0001-43;CRIVIRI FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
29.242.448/0001-01;RESOLUTE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
29.242.748/0001-82;G5 CAPITAL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
29.242.761/0001-31;M8 HIGH YIELD FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;18.038.439/0001-79;M8 PARTNERS GESTORA DE RECURSOS LTDA.;M8
29.250.121/0001-73;DAYCOVAL CLASSIC 30 FUNDO DE INVESTIMENTO FINANCEIRO;72.027.832/0001-02;DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA;Daycoval
29.250.127/0001-40;HAGE FUNDO DE INVESTIMENTO FINANCEIRO;72.027.832/0001-02;DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA;Daycoval
29.259.723/0001-91;ITAÚ FLEXPREV HIGH YIELD FIF RF CRED PRIV - RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
29.259.913/0001-09;CSHG JILES FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;11.519.438/0001-05;UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.;UBS
29.259.957/0001-39;SANTANDER TURMALINA RENDA FIXA CRÉDITO PRIVADO - FIF RESP LIMITADA;10.231.177/0001-52;SANTANDER BRASIL GESTÃO DE RECURSOS LTDA;SAM
29.319.013/0001-00;COSENZA CAPITAL INVESTIMENTO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;54.616.855/0001-70;TORI 21 CAPITAL LTDA.;Tori 21
29.549.568/0001-48;RECOLETA RENDA FIXA - FIF RESP LIMITADA;10.231.177/0001-52;SANTANDER BRASIL GESTÃO DE RECURSOS LTDA;SAM
29.549.660/0001-08;BRASIL ASSET III FIF CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;29.608.120/0001-58;PERSEVERA GESTÃO DE RECURSOS LTDA.;Persevera
29.575.405/0001-30;COLORADO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
29.613.660/0001-20;SUCO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
29.626.006/0001-50;PRINCIPAL CLARITAS ADVISORY ICATU PREVIDÊNCIA FI FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;03.987.891/0001-00;PRINCIPAL ASSET MANAGEMENT LTDA.;Principal
29.722.489/0001-97;G5 EVOLVE FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
29.726.117/0001-39;KAPITALO K10 MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;11.180.009/0001-48;KAPITALO INVESTIMENTOS LTDA.;Kapitalo
29.733.108/0001-75;TRUXT MACRO PREVIDENCIÁRIO FIFE FIF - CI MULTIMERCADO - RESP LIMITADA;23.890.968/0001-36;TRUXT INVESTIMENTOS LTDA.;Truxt
29.733.674/0001-87;RFT MISSISSIPI FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;02.933.874/0001-27;RAFTER GESTÃO DE INVESTIMENTOS LTDA;Rafter
29.733.890/0001-22;LWK FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE LIMITADA;46.895.578/0001-54;MONTE AZUL GESTÃO DE RECURSOS LTDA.;Monte Azul
29.733.934/0001-14;IRB FI FINANCEIRO - CI RF CRED PRIV - RESP LIMITADA;29.325.262/0001-08;IRB ASSET MANAGEMENT S.A.;IRB
29.734.143/0001-09;TRAFALGAR QUALIFICADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;11.519.438/0001-05;UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.;UBS
29.800.193/0001-47;BBG ESTRUTURADO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;15.289.957/0001-77;XP ADVISORY GESTAO DE RECURSOS LTDA;XPG
29.983.445/0001-10;WESTERN ASSET PREVINORTE FIF MULTIMERCADO RESPONSABILIDADE LIMITADA;07.437.241/0001-41;Franklin Templeton Brasil Ltda.;Franklin Templeton
29.983.496/0001-42;WESTERN ASSET PREV CREDIT 2 RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO CRÉDITO PRIV RESP LIMITADA;07.437.241/0001-41;Franklin Templeton Brasil Ltda.;Franklin Templeton
29.994.475/0001-22;COSENZA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO IE RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
30.056.825/0001-99;SAFRA POLARIS FIF CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;01.638.542/0001-57;SAFRA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Safra Asset
30.057.791/0001-57;SANTANDER PB FD&M MULTIMERCADO CRÉDITO PRIVADO - FIF;03.502.968/0001-04;SANTANDER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;SAM
30.068.214/0001-60;CAIXA MERCÚRIO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO - RESPONSABILIDADE LIMITADA;42.040.639/0001-40;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;CEF Asset
30.102.322/0001-02;MARCELLINI CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;25.248.367/0001-50;VÊNETO GESTÃO DE RECURSOS LTDA;Vêneto
30.102.426/0001-17;SANTANDER PREV ATIVO RENDA FIXA - FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;87.376.109/0001-06;ZURICH SANTANDER BRASIL SEGUROS E PREVIDENCIA S.A.;Zurich
30.168.870/0001-35;SANTANDER SANT LIGAS II RENDA FIXA CRÉDITO PRIVADO - FIF  RESP LIMITADA;10.231.177/0001-52;SANTANDER BRASIL GESTÃO DE RECURSOS LTDA;SAM
30.282.243/0001-20;DREAM FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
30.330.483/0001-53;MBPREV IV RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;10.231.177/0001-52;SANTANDER BRASIL GESTÃO DE RECURSOS LTDA;SAM
30.330.495/0001-88;FCOPEL II FUNDO DE INVESTIMENTO RENDA FIXA;68.622.174/0001-20;ICATU VANGUARDA GESTÃO DE RECURSOS LTDA;Icatu
30.332.830/0001-87;CHERRY CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;25.248.367/0001-50;VÊNETO GESTÃO DE RECURSOS LTDA;Vêneto
30.338.831/0001-39;XPA VERTICE CRÉDITO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;15.289.957/0001-77;XP ADVISORY GESTAO DE RECURSOS LTDA;XPG
30.338.838/0001-50;CAPITÂNIA CREDPREVIDÊNCIA MÁSTER FI FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESP LTDA;41.777.833/0001-40;CAPITANIA PREV S.A.;Capitânia
30.353.549/0001-20;AUGME PRO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;23.360.896/0001-15;AUGME CAPITAL GESTÃO DE RECURSOS LTDA.;Augme
30.353.771/0001-23;SANTANDER PB MYSTICAL MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO;03.502.968/0001-04;SANTANDER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;SAM
30.353.854/0001-12;BKP CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;25.248.367/0001-50;VÊNETO GESTÃO DE RECURSOS LTDA;Vêneto
30.392.659/0001-00;BRAM ULTRA FI FINANCEIRO - CI RF CRED PRIV - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
30.392.811/0001-46;CBPG FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
30.453.289/0001-65;G5 ALLOCATION FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
30.493.082/0001-14;C EST LÁ VIE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉD PRIV RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
30.506.088/0001-89;AZALEIA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO;15.289.957/0001-77;XP ADVISORY GESTAO DE RECURSOS LTDA;XPG
30.507.629/0001-93;FIF - CLASSE DE INVESTIMENTO MULTIMERCADO VIVEST CRÉDITO - CRED PRIV - RESP LIMITADA;62.465.117/0001-06;FUNDACAO CESP;CESP
30.556.696/0001-06;G5 UCRÂNIA FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
30.556.749/0001-80;TRUXT MACRO PREVIDÊNCIA FIFE MASTER FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA;23.890.968/0001-36;TRUXT INVESTIMENTOS LTDA.;Truxt
30.568.172/0001-27;AUGME HIGH GRADE FUNDO DE INVESTIMENTO RENDA FIXA;23.360.896/0001-15;AUGME CAPITAL GESTÃO DE RECURSOS LTDA.;Augme
30.568.485/0001-85;AUGME INSTITUCIONAL CLASSE DE  INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO - RESP LIMITADA;23.360.896/0001-15;AUGME CAPITAL GESTÃO DE RECURSOS LTDA.;Augme
30.593.140/0001-81;ITAÚ FLEXPREV ACTIVE FIX FIF RF CRÉD PRIV - RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
30.608.416/0001-58;TENACE FIF CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO RESPONSABILIDADE LIMITADA;01.638.542/0001-57;SAFRA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Safra Asset
30.618.302/0001-99;BB COMPARTILHADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO LP RESP LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
30.618.614/0001-00;G5 ALLOCATION HY DIREITOS CREDITÓRIOS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
30.629.300/0001-03;BB HAPV FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO CRÉDITO PRIVADO RESPON LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
30.630.186/0001-23;VERDE AM SCENA ADVISORY XP SEGUROS PREV MASTER FIF MULTIMERCADO RESPONSABILIDADE LIMITADA;19.749.539/0001-76;VERDE ASSET MANAGEMENT S.A.;Verde
30.630.324/0001-74;FCOPEL FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO III RESPONSABILIDADE LIMITADA;13.189.882/0001-27;JGP GESTÃO DE CREDITO LTDA;JGP
30.642.042/0001-97;BARCELOS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;72.027.832/0001-02;DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA;Daycoval
30.857.989/0001-15;TAMAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
30.869.395/0001-24;SPARTA PREVIDÊNCIA FIFE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESP LTDA;72.745.714/0001-30;SPARTA ADMINISTRADORA DE RECURSOS LTDA;Sparta
30.910.036/0001-73;ANGÁ HIGH YIELD FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;35.950.923/0001-99;ANGÁ INVESTIMENTOS LTDA;Angá
31.110.602/0001-25;W2W FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
31.120.022/0001-19;ARX DENALI ICATU PREVIDÊNCIA FI FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;04.408.128/0001-40;ARX INVESTIMENTOS LTDA;ARX
31.217.083/0001-07;ITAÚ ACTIVE FIX DUAL MULTIMERCADO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO FINANCEIRO RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
31.247.805/0001-68;HERMIONE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
31.247.823/0001-40;PIONEIRO FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
31.247.920/0001-32;FWP FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
31.247.970/0001-10;JULIUS BAER GESTÃO DE CRÉDITO SELETIVO 120 CRED PRIV FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
31.248.365/0001-63;VERDE AM B PREVIDÊNCIA FIFE MASTER FI FINANCEIRO - CI MULT - RESP LIMITADA;19.749.539/0001-76;VERDE ASSET MANAGEMENT S.A.;Verde
31.248.460/0001-67;RIZA ICATU PREVIDÊNCIA LOW VOL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESP LIMITADA;50.715.649/0001-67;RIZA LÍQUIDOS GESTORA DE RECURSOS LTDA.;Riza
31.248.496/0001-40;VINCI IMOBILIÁRIO FIF - CI RENDA FIXA CRÉDITO PRIVADO II - RESP LIMITADA;11.077.576/0001-73;VINCI GESTORA DE RECURSOS LTDA;Vinci
31.389.791/0001-17;FUNDO DE INVESTIMENTO FINANCEIRO COLUMBUS II MULTIMERCADO RESP LTDA;21.813.291/0001-07;SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.;Sulamérica
31.440.844/0001-87;XPA ATLANTICO SUL PREV FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;29.408.732/0001-05;XP VIDA E PREVIDÊNCIA S.A.;XPG
31.525.194/0001-72;ARC MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;27.690.986/0001-25;ARC CAPITAL LTDA.;ARC
31.570.107/0001-07;KINEA KP FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA;08.604.187/0001-44;KINEA INVESTIMENTOS LTDA.;Kinea
31.611.340/0001-82;CSHG MASTER PORTFOLIO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO RESP LIMITADA;11.519.438/0001-05;UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.;UBS
31.666.755/0001-53;LEGACY CAPITAL ALPHA MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA;28.674.641/0001-40;LEGACY CAPITAL GESTORA DE RECURSOS LTDA.;Legacy
31.848.248/0001-30;SINTRA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
31.908.013/0001-97;ATENA YIELD MASTER FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;19.005.052/0001-89;ATENA CAPITAL GESTÃO DE RECURSOS LTDA.;Atena
31.961.612/0001-74;XP HIGH GRADE ADVISORY FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRED PRIV RESP LIMITADA;16.789.525/0001-98;XP VISTA ASSET MANAGEMENT LTDA.;XPG
31.962.100/0001-22;SPARTA PREVIDÊNCIA MASTER FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESP LTDA;72.745.714/0001-30;SPARTA ADMINISTRADORA DE RECURSOS LTDA;Sparta
31.963.396/0001-04;DEVANT MAGNA FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;28.363.263/0001-84;DEVANT ASSET INVESTIMENTOS LTDA;Devant
31.964.159/0001-50;TYTON CRÉDITO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;46.503.558/0001-90;TYTON CAPITAL INVESTIMENTOS LTDA.;Tyton
31.964.408/0001-07;ABC II FUNDO DE INVESTIMENTO EM AÇÕES RESPONSABILIDADE LIMITADA;04.686.893/0001-21;TURIM 21 INVESTIMENTOS LTDA;Turim
31.972.790/0001-09;INTER MRV FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;05.585.083/0001-41;INTER ASSET GESTÃO DE RECURSOS LTDA.;Inter
32.064.707/0001-58;FOUNTAINHEAD FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
32.158.371/0001-92;AZ QUEST B PREVIDÊNCIA FIFE MASTER FI FINANCEIRO - CI MULT - RESP LIMITADA;59.312.965/0001-62;AZ Quest Prev Ltda.;AZ Quest
32.158.579/0001-01;VERSAILLES FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CREDITO PRIVADO LONGO PRAZO;11.468.803/0001-91;PRADA ADMINISTRADORA DE RECURSOS LTDA.;Prada
32.158.806/0001-07;G5 VEGAS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
32.158.821/0001-47;G5 SUNSET FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
32.159.534/0001-51;ITAÚ PRECISION ADVANCED FUNDO DE INVESTIMENTO FINANCEIRO  MULTIMERCADO CRÉDITO PRIV RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
32.162.746/0001-98;ABSOLUTE PREVIDENCIÁRIO ITAÚ MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESP LIMITADA;17.285.755/0001-82;ABSOLUTE GESTAO DE INVESTIMENTOS LTDA;Absolute
32.179.530/0001-35;G5 CRUZ DE MALTA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
32.223.797/0001-82;FUNDO PATRIMONIAL ELIEZER MAX FIF MULTIMERCADO CRÉDITO PRIVADO IE RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
32.225.253/0001-50;IRIDIUM TITAN MASTER FIF RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;27.028.424/0001-10;IRIDIUM GESTÃO DE RECURSOS LTDA.;Iridium
32.225.995/0001-85;SPARTA ANS FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;72.745.714/0001-30;SPARTA ADMINISTRADORA DE RECURSOS LTDA;Sparta
32.227.093/0001-88;TIGRES FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;09.175.140/0001-75;GALT CAPITAL CONSULTORIA DE INVESTIMENTOS LTDA.;Galt
32.240.211/0001-98;ITAÚ MIRANTE FIF - CLASSE DE INVESTIMENTO RF - RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
32.287.573/0001-34;PAVIA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
32.291.887/0001-00;FERUCCE FUNDO DE INVESTIMENTO MULTIMERCADO;17.516.277/0001-74;GARIN INVESTIMENTOS LTDA;Garin
32.295.526/0001-32;LVR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;43.043.121/0001-23;ONE WEALTH MANAGEMENT GESTORA DE RECURSOS LTDA;One WM
32.312.120/0001-10;BRAM CORAL II FIF - CLASSE DE INVESTIMENTO RENDA FIXA REFERENCIADA DI - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
32.312.343/0001-88;IRIDIUM APOLLO MASTER PREV FI FINANCEIRO RENDA FIXA CRÉDITO PRIVADO -  RESPONSABILIDADE LIMITADA;27.028.424/0001-10;IRIDIUM GESTÃO DE RECURSOS LTDA.;Iridium
32.312.678/0001-04;ARX DENALI PREVIDÊNCIA FI FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;04.408.128/0001-40;ARX INVESTIMENTOS LTDA;ARX
32.319.525/0001-80;JGP CRÉDITO PREVIDENCIÁRIO MASTER FIF RENDA FIXA CRÉD PRIV LONGO PRAZO - RESPONSABILIDADE LIMITADA;13.189.882/0001-27;JGP GESTÃO DE CREDITO LTDA;JGP
32.319.587/0001-92;RG23 PREV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;05.794.902/0001-60;GALAPAGOS MULTI FAMILY OFFICE LTDA;Galapagos
32.346.713/0001-06;WESTERN ASSET ADVISORY XP SEGUROS RENDA FIXA ATIVO FIF PREVIDENCIÁRIO - RESPONSABILIDADE LIMITADA;29.408.732/0001-05;XP VIDA E PREVIDÊNCIA S.A.;XPG
32.356.892/0001-54;QUATA CLO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO;09.456.933/0001-62;IORQ GESTÃO DE RECURSOS LTDA;IORQ
32.385.140/0001-11;MAG PREV XP SEGUROS ADVISORY FIF RF CRÉD PRIV - RESPONSABILIDADE LIMITADA;29.408.732/0001-05;XP VIDA E PREVIDÊNCIA S.A.;XPG
32.388.077/0001-77;BRAM CAPITAL II FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
32.396.801/0001-04;G5 SRITA PREVIDENCIA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
32.397.476/0001-02;BTG PACTUAL CREDITO CORPORATIVO MASTER II FUNDO DE INVESTIMENTO RENDA FIXA CREDITO PRIVADO;29.650.082/0001-00;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;BTG Asset
32.397.641/0001-18;PRINCIPAL CLARITAS BTG PREVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;03.987.891/0001-00;PRINCIPAL ASSET MANAGEMENT LTDA.;Principal
32.471.662/0001-36;JJRB FUNDO DE INVESTIMENTO MULTIMERCADO;18.994.332/0001-02;CITRINO GESTÃO DE RECURSOS LTDA;Citrino
32.528.601/0001-68;AAA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;37.414.193/0001-37;GUARDIAN GESTORA LTDA.;Guardian
32.655.682/0001-67;TUPINAMBÁ FI FINANCEIRO - CI RF - RESP LIMITADA;03.384.738/0001-98;TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Tivio
32.672.266/0001-77;RMF FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
32.711.923/0001-48;JUXTA CRUCEM FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
32.712.006/0001-88;BB PAXS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
32.742.673/0001-03;PRINCIPAL CLARITAS PREVIDÊNCIA FIFE FIF MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;03.987.891/0001-00;PRINCIPAL ASSET MANAGEMENT LTDA.;Principal
32.760.072/0001-23;ICATU VANGUARDA CREDIT PLUS MASTER FIF - CLASSE DE INVESTIMENTO RF CRED PRIV - RESP LIMITADA;68.622.174/0001-20;ICATU VANGUARDA GESTÃO DE RECURSOS LTDA;Icatu
32.770.526/0001-47;ARX K2 INFLAÇÃO CURTA FI FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO- RESPONSABILIDADE LIMITADA;04.408.128/0001-40;ARX INVESTIMENTOS LTDA;ARX
32.771.072/0001-29;XP CORPORATE PLUS MASTER FI FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO -  RESPONSABILIDADE LIMITADA;16.789.525/0001-98;XP VISTA ASSET MANAGEMENT LTDA.;XPG
32.812.110/0001-44;WM PATRIMONIAL ICATU PREV QUALIFICADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
32.834.664/0001-42;G5 BLUE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
