"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"TEPA11","18,6363","IPCA_SPREAD","B28 + 937 bps","IPCA + 9.6888%","2026-08-06","2030-03-15","435,00","1,73","","","","2028-08-15","B28","8,4700","937","ok","","ANBIMA Data API (web-bff)"
"TEPA12","17,5883","IPCA_SPREAD","B29 + 867 bps","IPCA + 10.0924%","2026-08-06","2031-07-15","608,00","2,41","","","","2029-05-15","B29","8,2059","867","ok","","ANBIMA Data API (web-bff)"
"TEPA13","15,5178","IPCA_SPREAD","B30 + 670 bps","IPCA + 11.5593%","2026-08-06","2032-03-15","782,00","3,10","","","","2030-08-15","B30","8,2600","670","ok","","ANBIMA Data API (web-bff)"
"TEPA14","4,1500","DI_SPREAD","CDI + 4,15%","DI + 3.3500%","2026-08-06","2030-12-04","547,00","2,17","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TEPA23","18,6784","PREFIXADO","18,68%","Pré-Fixado 18.5067%","2026-08-06","2032-03-15","811,00","3,22","","3,6511","spread = (1 + Y)/(1 + L) - 1; Y = pre 18,68%; L = TaxaLTN_252 venc ref 2032-01-01 = 14,50%","","","","","ok","","ANBIMA Data API (web-bff)"
"TFLE19","1,0383","DI_SPREAD","CDI + 1,04%","DI + 1.3000%","2026-08-06","2030-05-28","739,00","2,93","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TFLEA3","1,3337","DI_SPREAD","CDI + 1,33%","DI + 1.8500%","2026-08-06","2028-12-20","510,00","2,02","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TFLEA4","1,4077","DI_SPREAD","CDI + 1,41%","DI + 1.8500%","2026-08-06","2029-01-26","535,00","2,12","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TFLEA6","1,0519","DI_SPREAD","CDI + 1,05%","DI + 1.4500%","2026-08-06","2031-12-11","812,00","3,22","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TFLEA7","0,9718","DI_SPREAD","CDI + 0,97%","DI + 1.4000%","2026-08-06","2031-02-10","659,00","2,62","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TFLEA8","1,0222","DI_SPREAD","CDI + 1,02%","DI + 1.2000%","2026-08-06","2030-06-20","756,00","3,00","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TFLEA9","1,0950","DI_SPREAD","CDI + 1,10%","DI + 1.2400%","2026-08-06","2032-09-09","901,00","3,58","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TFLEB5","1,0307","DI_SPREAD","CDI + 1,03%","DI + 1.5000%","2026-08-06","2030-11-04","619,00","2,46","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TFLEC0","1,0173","DI_SPREAD","CDI + 1,02%","DI + 0.9100%","2026-08-06","2030-09-18","693,00","2,75","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TFLED0","1,1275","DI_SPREAD","CDI + 1,13%","DI + 1.1500%","2026-08-06","2032-09-18","945,00","3,75","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TIET18","8,2822","IPCA_SPREAD","B28 - 17 bps","IPCA + 6.0215%","2026-08-06","2030-05-15","527,00","2,09","","","","2028-08-15","B28","8,4700","-17","ok","","ANBIMA Data API (web-bff)"
"TIET19","0,5932","DI_SPREAD","CDI + 0,59%","DI + 1.0000%","2026-08-06","2027-03-15","146,00","0,58","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TIET29","8,2529","IPCA_SPREAD","B28 - 20 bps","IPCA + 4.7133%","2026-08-06","2029-03-15","374,00","1,48","","","","2028-08-15","B28","8,4700","-20","ok","","ANBIMA Data API (web-bff)"
"TIET39","8,2578","IPCA_SPREAD","B28 - 20 bps","IPCA + 4.7133%","2026-08-06","2029-03-15","380,00","1,51","","","","2028-08-15","B28","8,4700","-20","ok","","ANBIMA Data API (web-bff)"
"TIGR12","1,4909","DI_SPREAD","CDI + 1,49%","DI + 0.6000%","2026-08-06","2029-10-24","646,00","2,56","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TIGR21","1,5700","DI_SPREAD","CDI + 1,57%","DI + 1.7000%","2026-08-06","2028-11-10","386,00","1,53","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TIMS12","7,6323","IPCA_SPREAD","B27 - 37 bps","IPCA + 3.9182%","2026-08-06","2028-06-15","327,00","1,30","","","","2027-05-15","B27","8,0302","-37","ok","","ANBIMA Data API (web-bff)"
"TLPP27","0,8596","DI_SPREAD","CDI + 0,86%","DI + 1.3500%","2026-08-06","2027-07-12","222,00","0,88","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TNHL11","8,2280","IPCA_SPREAD","B33 + 0 bps","IPCA + 6.5865%","2026-08-06","2041-09-15","1490,00","5,91","","","","2033-05-15","B33","8,2266","0","ok","","ANBIMA Data API (web-bff)"
"TOTS15","0,7569","DI_SPREAD","CDI + 0,76%","DI + 0.9500%","2026-08-06","2031-07-19","690,00","2,74","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TPEN11","7,9619","IPCA_SPREAD","B28 - 47 bps","IPCA + 6.5333%","2026-08-06","2028-09-15","406,00","1,61","","","","2028-08-15","B28","8,4700","-47","ok","","ANBIMA Data API (web-bff)"
"TPNO12","8,1148","IPCA_SPREAD","B28 - 33 bps","IPCA + 7.5826%","2026-08-06","2029-06-15","380,00","1,51","","","","2028-08-15","B28","8,4700","-33","ok","","ANBIMA Data API (web-bff)"
