"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"APFD19","8,1331","IPCA_SPREAD","B29 - 16 bps","IPCA + 6.3854%","2026-07-17","2031-09-15","667,00","2,65","","","","2029-05-15","B29","8,3100","-16","ok","","ANBIMA Data API (web-bff)"
"APFL18","1,4118","DI_SPREAD","CDI + 1,41%","DI + 1.3800%","2026-07-17","2029-01-15","541,00","2,15","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"APPSA2","9,1236","IPCA_SPREAD","B30 + 74 bps","IPCA + 6.7800%","2026-07-17","2031-09-15","804,00","3,19","","","","2030-08-15","B30","8,3257","74","ok","","ANBIMA Data API (web-bff)"
"APPSB2","1,4000","DI_SPREAD","CDI + 1,40%","DI + 2.1500%","2026-07-17","2028-09-15","256,00","1,02","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"APPT11","","IPCA_SPREAD","—","IPCA + 8.8958%","2026-07-17","2043-12-15","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"APRB18","9,4465","IPCA_SPREAD","B30 + 103 bps","IPCA + 4.5000%","2026-07-17","2031-06-15","772,00","3,06","","","","2030-08-15","B30","8,3257","103","ok","","ANBIMA Data API (web-bff)"
"APRB28","0,6298","DI_SPREAD","CDI + 0,63%","DI + 0.8600%","2026-07-17","2027-06-15","179,00","0,71","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ARML13","2,1540","DI_SPREAD","CDI + 2,15%","DI + 2.2500%","2026-07-17","2029-11-04","571,00","2,27","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ARML14","2,6295","DI_SPREAD","CDI + 2,63%","DI + 1.9000%","2026-07-17","2032-03-15","813,00","3,23","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ARML15","2,6991","DI_SPREAD","CDI + 2,70%","DI + 1.3500%","2026-07-17","2032-09-25","884,00","3,51","","","","","","","","ok","","ANBIMA Data API (web-bff)"
