"ticker","statusExercicio","dataEvento","diasUteisAteEvento","pctPuPar","taxaEvento","tipoTaxa","remuneracao","dataReferencia","origemAba","spreadBE","spreadBEUnid"
"JSLGA5","Em exercício","2026-10-20","","1.006972","2.1795","implícita","DI + 2,7%","2026-07-31","No Período de Exercício","2.1795","%"
"KLAS12","Em exercício","","","","","implícita","DI + 2,8%","2026-07-31","No Período de Exercício","",""
"LMTP18","Em exercício","","","","","implícita","DI + 1,93%","2026-07-31","No Período de Exercício","",""
"LMTP26","Em exercício","2026-09-25","","1.00247","1.4382","implícita","DI + 1,7%","2026-07-31","No Período de Exercício","1.4382","%"
"LOGGB1","Em exercício","2027-01-11","","1.00172","1.2982","implícita","DI + 1,65%","2026-07-31","No Período de Exercício","1.2982","%"
"LVTC12","Em exercício","2026-12-15","","1.007293","0.7881","implícita","DI + 2,3%","2026-07-31","No Período de Exercício","0.7881","%"
"LVTC22","Em exercício","2026-12-15","","1.037555","-0.06","implícita","DI + 2,7%","2026-07-31","No Período de Exercício","-0.06","%"
"MDRO18","Em exercício","2026-11-25","","1.009999","1.8354","implícita","DI + 2,25%","2026-07-31","No Período de Exercício","1.8354","%"
"MGLUA0","Em exercício","","","","","implícita","DI + 1,25%","2026-07-31","No Período de Exercício","",""
"MILS19","Em exercício","2026-12-21","","1.010499","0.7044","implícita","DI + 1,3%","2026-07-31","No Período de Exercício","0.7044","%"
"MNRVA1","Em exercício","","","","","implícita","DI + 1,6%","2026-07-31","No Período de Exercício","",""
"MOTVA8","Em exercício","2026-11-16","","1.006929","0.3263","implícita","DI + 0,57%","2026-07-31","No Período de Exercício","0.3263","%"
"MOVI17","Em exercício","","","","","implícita","DI + 2,7%","2026-07-31","No Período de Exercício","",""
"MOVI27","Em exercício","2026-09-15","","1.010416","2.2871","implícita","DI + 2,9%","2026-07-31","No Período de Exercício","2.2871","%"
"MOVI34","Em exercício","2027-01-27","","1.00172","1.694","implícita","DI + 2,05%","2026-07-31","No Período de Exercício","1.694","%"
"MOVIA2","Em exercício","","","","","implícita","DI + 2,1%","2026-07-31","No Período de Exercício","",""
"MOVIA3","Em exercício","2026-09-08","","1.00168","2.1421","implícita","DI + 2,5%","2026-07-31","No Período de Exercício","2.1421","%"
"MRFGA1","Em exercício","2026-11-11","","1.00248","1.2876","implícita","DI + 1,55%","2026-07-31","No Período de Exercício","1.2876","%"
"MULPA0","Em exercício","2026-10-15","","1.005952","0.864","implícita","DI + 1,3%","2026-07-31","No Período de Exercício","0.864","%"
"MULPB1","Em exercício","2027-01-11","","1.002988","0.8866","implícita","DI + 1,2%","2026-07-31","No Período de Exercício","0.8866","%"
"MULTA5","Em exercício","2026-10-15","","1.014892","0.0776","implícita","DI + 0,55%","2026-07-31","No Período de Exercício","0.0776","%"
"MULTB5","Em exercício","2026-10-15","","1.023857","0.2821","implícita","DI + 0,8%","2026-07-31","No Período de Exercício","0.2821","%"
"MVLV19","Em exercício","2026-10-05","","1.001694","2.5906","implícita","DI + 2,95%","2026-07-31","No Período de Exercício","2.5906","%"
"MVLVA1","Em exercício","2026-12-22","","1.003968","2.474","implícita","DI + 2,9%","2026-07-31","No Período de Exercício","2.474","%"
"NATUA3","Em exercício","2026-12-15","","1.008666","0.7967","implícita","DI + 1,2%","2026-07-31","No Período de Exercício","0.7967","%"
"NTSD16","Em exercício","2026-08-17","","1.007433","0.8535","implícita","DI + 1,2%","2026-07-31","No Período de Exercício","0.8535","%"
"NTSD17","Em exercício","2026-12-21","","1.004455","0.4778","implícita","DI + 0,8%","2026-07-31","No Período de Exercício","0.4778","%"
"OMGE15","Em exercício","2026-12-15","","1.004952","1.4169","implícita","DI + 1,65%","2026-07-31","No Período de Exercício","1.4169","%"
"OMGE16","Em exercício","2026-09-15","","1.00692","0.9036","implícita","DI + 1,15%","2026-07-31","No Período de Exercício","0.9036","%"
"OMGE17","Em exercício","2026-08-17","","1.008928","0.6292","implícita","DI + 0,89%","2026-07-31","No Período de Exercício","0.6292","%"
"OMGE26","Em exercício","2026-09-15","","1.008912","0.9867","implícita","DI + 1,25%","2026-07-31","No Período de Exercício","0.9867","%"
"OPCT16","Em exercício","2026-08-18","","1.024976","1.2259","implícita","DI + 2,5%","2026-07-31","No Período de Exercício","1.2259","%"
"OVSAA3","Em exercício","2027-01-15","","1.007449","1.7548","implícita","DI + 2,4%","2026-07-31","No Período de Exercício","1.7548","%"
"OVSAA8","Em exercício","2026-12-10","","1.009902","2.1257","implícita","DI + 2,7%","2026-07-31","No Período de Exercício","2.1257","%"
"OVSAB0","Em exercício","2026-11-16","","1.007429","1.7524","implícita","DI + 2,3%","2026-07-31","No Período de Exercício","1.7524","%"
"PALFA4","Em exercício","2026-09-08","","1.00246","0.1325","implícita","DI + 0,55%","2026-07-31","No Período de Exercício","0.1325","%"
"PASS12","Em exercício","2026-11-03","","1.011969","1.1211","implícita","DI + 1,55%","2026-07-31","No Período de Exercício","1.1211","%"
"PASS13","Em exercício","2026-09-15","","1.006191","0.7917","implícita","DI + 1,08%","2026-07-31","No Período de Exercício","0.7917","%"
"PASS14","Em exercício","2026-12-01","","1.005206","0.4668","implícita","DI + 0,65%","2026-07-31","No Período de Exercício","0.4668","%"
"PASS24","Em exercício","2026-12-01","","1.008217","0.4772","implícita","DI + 0,7%","2026-07-31","No Período de Exercício","0.4772","%"
"PEJA21","Em exercício","2026-08-17","","1.005904","1.4214","implícita","DI + 2,05%","2026-07-31","No Período de Exercício","1.4214","%"
"PGMN26","Em exercício","2026-11-05","","1.007936","1.6118","implícita","DI + 2,2%","2026-07-31","No Período de Exercício","1.6118","%"
"PLSB2A","Em exercício","2026-10-15","","1.005961","1.0298","implícita","DI + 1,55%","2026-07-31","No Período de Exercício","1.0298","%"
"PSAN13","Em exercício","2026-09-18","","1.005","2.0926","implícita","DI + 2,3%","2026-07-31","No Período de Exercício","2.0926","%"
"PSAN23","Em exercício","2026-09-18","","1.010357","2.3183","implícita","DI + 2,7%","2026-07-31","No Período de Exercício","2.3183","%"
"QUAL16","Em exercício","2026-12-03","","1.00244","1.3426","implícita","DI + 1,85%","2026-07-31","No Período de Exercício","1.3426","%"
