CD_ATIVO,GESTOR,VL_ALOCADO
"ENEV29","Andbank",105866.55
"PRLG17","ARX",97521452.03
"EUFA17","SAM",135359691.32
"TEPA12","Daycoval",1050352.34
"AURP12","SVN",107366.13
"CEMTE2","Sparta",22647263.96
"PRLG17","BRAM",64745230.85
"ESULA6","UBS",1576159.19
"TFLE19","ASA",1048264.47
"CEPEC1","Principal",61131.31
"CMGDB4","BBM Asset",2473898.11
"TAEE26","Rafter",641302.55
"CEROA3","(fundo nao cadastrado)",16754297.85
"FZCH11","IAM",168394137.55
"LORTB2","MAG",7391814.57
"CSMGB8","BB Asset",145309036.01
"BTEL23","XPG",6954815.92
"VBBR24","Reach",2607609.34
"CLCD16","Daycoval",8324287.77
"APRB18","Nikos",424735.58
"ERPM11","SAM",4135446.84
"RENTC8","SAM",173294449.43
"ENGIA1","BRAM",1429846.05
"CRTR12","Icatu",60985276.87
"CEEBB2","BNP",9832688.3
"GASC28","Galt",391063.45
"ENGIB9","Trígono",501061.64
"CGOS18","BB Asset",58692626.58
"BBML13","JGP",6163055.95
"ENMTB5","BRAM",11273186.66
"ANHBA6","ASA",1175528.42
"ENEV38","JGP",2784083.54
"COMR14","Vinland",27337308.93
"SAJO12","(fundo nao cadastrado)",3821020.68
"PALFB3","Porto Asset",115932.53
"RUMOA4","Nikos",2729041.39
"VALE48","Galapagos",628486.21
"MGPRA0","Vinland",158201340.55
"BCPSA6","IAM",214568124.22
"CHSF24","IAM",265300192.43
"SBSPF8","BTG Asset",2214937.14
"ISAEB8","(fundo nao cadastrado)",72145564.15
"PAXA12","Sparta",32281433.79
"SMFTA1","BB Asset",85110988.17
"CPLDA1","ARX",29293504.33
"TLPP27","Daycoval",33444464.12
"LORTB9","Butiá",860128.65
"CEPEA7","UBS",3426757.02
"QUAT13","San WM",139803.61
"MGPRA0","UBS",34951517.94
"CEEDA0","Regia",69757524.66
"ESCEA6","Paramis",2058319.68
"CTEE18","ASA",493149.1
"TAEB15","(fundo nao cadastrado)",4385395.92
"RENTD1","Galt",1292463.52
"PSAN13","Polo",2015752.61
"QUAL18","BTG Asset",63054945.51
"ERDVB3","Paramis",114045.4
"ISAEA8","Vinland",99088.64
"DXCO13","BB Asset",445259321.86
"RISP24","Andbank",1058372.03
"SMTO14","Sonata",1950467.74
"RSAN16","(fundo nao cadastrado)",38337825.52
"VERO14","Somma",6473700.59
"UBRO11","JGP",4174675.3
"CPGTA1","Ace",540450.95
"CMTR29","ASA",625844.02
"RALM11","Vinland",72208996.47
"SAELB7","Ibuina",5152578.01
"CAEC22","Somma",2166173.32
"TFLEA9","Turim",4381488.87
"CGOS19","Vinci",6503375.11
"CTNS25","Nu Asset",104588.03
"CGOS34","G5",1390185.62
"CLCD27","Tenax",3549508.39
"APFD19","Mirabaud",686189.59
"TQUI13","SAM",23028768.24
"ASAIA2","BTG Asset",33263074.9
"CLCD18","Mirabaud",2037784.69
"CGOS34","Safra Asset",3198883.28
"PEJA11","Riza",212625.96
"VAMO23","Principal",3750737.18
"VBBR16","Brave",909247.53
"TPER41","ASA",0.03
"VAMO13","AF Invest",2461529.82
"MEZ511","Iridium",9989430.53
"GASC23","Sulamérica",1111113.32
"CRCG12","BNP",9141664.24
"IGTAB1","IAM",24980875.72
"ELTN17","Porto Asset",10252.28
"MULPB1","Riza",5125740.96
"HGLB23","Suno",2218935.28
"CPIS14","Vinland",5691918.33
"HYPEA8","(fundo nao cadastrado)",316358985.67
"CTNS25","BTG WM",770813.8
"PFOR16","Drys",4289148.53
"CERO19","Paramis",943828.44
"VSCF17","BTG Asset",30285619.65
"CMIN11","Daycoval Asset",738720.19
"FLLH13","Ibuina",54940314.23
"NTSD17","Kinea",39187106.47
"CGOS34","4UM",444727.69
"CBRDA8","AF Invest",1507086.86
"CSMGB4","Ibuina",2568699.83
"VALEB1","Vinland",85771.46
"CMGD18","BB Asset",142027834.22
"RADL15","BB Asset",140911276.29
"CGOSA0","UBS",37080744.23
"CART13","Portofino",83007.08
"ENMTC3","Rafter",2007413.24
"BCPSA7","Vinland",50597237.21
"EQMAA2","BTG Asset",30432573.41
"CEED13","Inter",4332640.58
"RSAN25","WHG",1013232.85
"VAMO13","Integral",477161.28
"KLBNA2","SAM",75456250.79
"TRRG12","UBS",86074533.6
"CBAN22","XPG",4476.32
"ENGIC3","San WM",2851244.88
"CTEP13","Regia",15432261.58
"TIET29","Galt",1235123.05
"EDPA11","(fundo nao cadastrado)",286987.18
"ENERC7","Augme",7976588.92
"BCPSA7","Sulamérica",32888203.9
"CCROA7","Inter",8650691.09
"RIS412","XPG",41827879.63
"AXIA28","XPG",9616669.73
"ENEVD0","Galt",584634.52
"CSMGD1","BRAM",15190482.54
"CPGTA1","Valora",15266976.03
"MEZP11","ITAU Tsy",222362540.11
"IVIAA0","BDR",6071603.07
"TIET19","AF Invest",1595991.73
"CASN34","(fundo nao cadastrado)",1116738.06
"FENS12","BB Asset",264407397.36
"RISP22","BTG WM",63542923.63
"EDTE12","BR Partners",53363.2
"ENMTE6","Vinci",11612123.35
"CAEC22","Sparta",21330197.86
"VBBR14","M8",4758721.81
"CASN24","BRAM",492287.21
"ENEV15","Lakewood",1866340.19
"SBSPJ8","San Tsy",58617331.91
"JSLGA5","Polo",13677212.12
"MRSAB2","G5",1120679.51
"ANHBB6","BRAM",122229029.61
"ENGIC3","Kinea",55725005.65
"CSMGB8","BRAM",10340695.66
"GASP17","BB Asset",78187293.73
"JHSFA1","Solis",2806158.91
"HYPEA5","XPG",10689446.51
"WDPR11","BTG WM",4492044.14
"MSGT12","ARX",13450960.43
"EGIEA1","Brainvest",59074.63
"CEEBB8","Nu Asset",3432709.87
"ISPE12","Investcoop",4258157.79
"CGOS13","G5",288436.32
"RAIZ23","Porto Asset",322693.74
"VRDN12","Paramis",1444396.25
"TCBC17","IAM",313746.41
"CTEE29","Portofino",12209.43
"EGIEA1","Kinea",4296336.43
"RIPR13","(fundo nao cadastrado)",165544260.57
"BCPSA6","Rafter",7121387.5
"CPLDB0","Plural",8910116.36
"TIET29","Absolute",10066738.03
"MRSAB1","Safra Asset",22304922.64
"TUPY15","(fundo nao cadastrado)",26950589.15
"PFOR25","Absolute",33421175.35
"CEEBC4","Trígono",1137552.17
"URBI13","Asset 1",1038346.56
"VALEA0","IAM",8078618.94
"CSED12","IAM",185832610.38
"CMGDA1","Valora",8931393.85
"SBSPD3","CEF Asset",89482325.34
"ENERB4","BTG Asset",14054571.76
"RMSA12","Ace",745641.16
"GASP17","XPG",1307795.3
